date,month,league,home_team,away_team,outcome,actual_result,bucket_id,probability,market_probability,model_market_delta,lower_ev,odds,stake,won,profit
2023-02-14,2023-02,E3,Stockport,Crawley Town,home,home,"E3|home|[1.0,1.8)",0.728888,0.681818,0.04707,0.003935,1.4,1.0,True,0.4
2023-02-18,2023-02,E3,Leyton Orient,Crawley Town,home,home,"E3|home|[1.0,1.8)",0.664649,0.617556,0.047093,-0.001127,1.53,1.0,True,0.53
2023-02-28,2023-02,E3,Tranmere,Crawley Town,home,home,"E3|home|[1.0,1.8)",0.600482,0.571765,0.028717,-0.016886,1.67,1.0,True,0.67
2023-03-04,2023-03,E3,Carlisle,Grimsby,home,home,"E3|home|[1.0,1.8)",0.585057,0.553301,0.031755,-0.008079,1.73,1.0,True,0.73
2023-03-07,2023-03,E3,Sutton,Crawley Town,home,home,"E3|home|[1.0,1.8)",0.608809,0.571765,0.037044,-0.002815,1.67,1.0,True,0.67
2023-03-14,2023-03,E3,Stevenage,Crewe,home,home,"E3|home|[1.0,1.8)",0.729032,0.672897,0.056135,0.004276,1.4,1.0,True,0.4
2023-03-18,2023-03,E3,Northampton,Crewe,home,home,"E3|home|[1.0,1.8)",0.665752,0.616826,0.048927,0.000713,1.53,1.0,True,0.53
2023-03-18,2023-03,E3,Leyton Orient,Colchester,home,draw,"E3|home|[1.0,1.8)",0.620181,0.587544,0.032637,-0.014247,1.62,1.0,False,-1.0
2023-04-01,2023-04,E3,Mansfield,Crawley Town,home,home,"E3|home|[1.0,1.8)",0.60796,0.572971,0.034989,-0.016023,1.65,1.0,True,0.65
2023-04-10,2023-04,E3,Walsall,Carlisle,draw,draw,"E3|draw|[2.8,3.5)",0.344735,0.318402,0.026333,0.001603,3.0,1.0,True,2.0
2023-04-18,2023-04,E3,Salford,Hartlepool,home,home,"E3|home|[1.0,1.8)",0.672754,0.629432,0.043322,0.01155,1.53,1.0,True,0.53
2023-04-18,2023-04,E3,Stevenage,Doncaster,home,home,"E3|home|[1.0,1.8)",0.729921,0.675355,0.054565,0.005635,1.4,1.0,True,0.4
2023-04-22,2023-04,E3,Leyton Orient,Crewe,home,home,"E3|home|[1.0,1.8)",0.698348,0.657895,0.040453,-0.011098,1.44,1.0,True,0.44
2023-04-22,2023-04,E3,Stockport,Rochdale,home,home,"E3|home|[1.0,1.8)",0.733621,0.695688,0.037933,-0.018066,1.36,1.0,True,0.36
2023-04-29,2023-04,E3,Mansfield,Harrogate,home,away,"E3|home|[1.0,1.8)",0.67204,0.629213,0.042826,-0.009356,1.5,1.0,False,-1.0
