row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
7050,2022-08-13,2022-08,E3,Stockport,Colchester,home,home,0.6164042738918845,0.5724098454493417,0.043994428442542755,0.014631411301820163,-0.0010570481004934518,1.66,"[1.0,1.8)",True,0.6599999999999999,"E3|home|[1.0,1.8)"
8123,2022-09-30,2022-09,E3,Mansfield,Hartlepool,home,draw,0.7202230996828062,0.6761868406440866,0.04403625903871955,0.013916598967323567,-0.011170898998324352,1.4,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
8980,2022-10-29,2022-10,E3,Stockport,Sutton,home,home,0.59235004184909,0.556783031374282,0.035567010474808036,0.013421780399293584,-0.015821955535346044,1.7,"[1.0,1.8)",True,0.7,"E3|home|[1.0,1.8)"
9387,2022-11-12,2022-11,E3,Stevenage,Hartlepool,home,home,0.6691442614187643,0.6214709329166518,0.04767332850211248,0.012753144864586667,0.004278408327891725,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
9502,2022-11-19,2022-11,E3,Harrogate,Mansfield,away,home,0.5218470041348042,0.489795918367347,0.032051085767457244,0.011885707263641687,-0.0055754711012330205,1.95,"[1.8,2.2)",False,-1.0,"E3|away|[1.8,2.2)"
9544,2022-12-03,2022-12,E3,Hartlepool,Stockport,away,away,0.6951805917942316,0.6363636363636365,0.058816955430595175,0.011662233200022725,0.025277537891313484,1.5,"[1.0,1.8)",True,0.5,"E3|away|[1.0,1.8)"
9760,2022-12-26,2022-12,E3,Stockport,Crewe,home,home,0.712038246751678,0.6550984597387405,0.05693978701293756,0.012496448881457763,0.014335606911819454,1.45,"[1.0,1.8)",True,0.44999999999999996,"E3|home|[1.0,1.8)"
9835,2022-12-29,2022-12,E3,Barrow,Tranmere,draw,away,0.35221269850631204,0.32653473344103395,0.025677965065278086,0.011691764935851655,-0.012489292645665007,2.9,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
9945,2023-01-02,2023-01,E3,Stevenage,Gillingham,home,home,0.6994762624131807,0.6653992395437263,0.034077022869454465,0.012141897340324656,-0.010238514295087264,1.44,"[1.0,1.8)",True,0.43999999999999995,"E3|home|[1.0,1.8)"
10121,2023-01-14,2023-01,E3,Salford,Sutton,draw,home,0.31772498761195084,0.2971246006389776,0.020600386972973228,0.011379322741587034,-0.019693872414835778,3.2,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
