row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
7265,2022-08-20,2022-08,G1,Lamia,AEK,away,away,0.7025392827975445,0.6522781774580336,0.05026110533951089,0.020968083835306926,-0.011721761504755457,1.45,"[1.0,1.8)",True,0.44999999999999996,"G1|away|[1.0,1.8)"
8451,2022-10-09,2022-10,G1,Levadeiakos,PAOK,away,draw,0.6106912212462932,0.5751554846166547,0.03553573662963849,0.019594929391180075,-0.018780155520512376,1.66,"[1.0,1.8)",False,-1.0,"G1|away|[1.0,1.8)"
8452,2022-10-09,2022-10,G1,OFI Crete,Olympiakos,away,away,0.714131275847876,0.6566604127579737,0.057470863089902235,0.019594929391180075,0.00013233889764197038,1.44,"[1.0,1.8)",True,0.43999999999999995,"G1|away|[1.0,1.8)"
8789,2022-10-22,2022-10,G1,Panetolikos,Olympiakos,away,away,0.6564182089137678,0.6098357297414951,0.04658247917227265,0.019594929391180075,-0.01292391673998905,1.55,"[1.0,1.8)",True,0.55,"G1|away|[1.0,1.8)"
8883,2022-10-24,2022-10,G1,Levadeiakos,AEK,away,away,0.714131275847876,0.6566604127579737,0.057470863089902235,0.019594929391180075,0.00013233889764197038,1.44,"[1.0,1.8)",True,0.43999999999999995,"G1|away|[1.0,1.8)"
9299,2022-11-09,2022-11,G1,Panetolikos,Panathinaikos,away,away,0.6156205883534821,0.5747126436781609,0.04090794467532122,0.018462690171421006,-0.014689467999599248,1.65,"[1.0,1.8)",True,0.6499999999999999,"G1|away|[1.0,1.8)"
9316,2022-11-10,2022-11,G1,Ionikos,PAOK,away,away,0.5981310538961921,0.556783031374282,0.041348022521910166,0.018462690171421006,-0.014563781667889075,1.7,"[1.0,1.8)",True,0.7,"G1|away|[1.0,1.8)"
9701,2022-12-21,2022-12,G1,Giannina,Olympiakos,away,draw,0.7227212428730839,0.6818181818181818,0.04090306105490216,0.017891075702548796,-0.013237765961250814,1.4,"[1.0,1.8)",False,-1.0,"G1|away|[1.0,1.8)"
10320,2023-01-21,2023-01,G1,Aris,Volos NFC,home,home,0.7069374351448161,0.6598240469208211,0.04711338822399502,0.018764656333460084,-0.002149470723533664,1.45,"[1.0,1.8)",True,0.44999999999999996,"G1|home|[1.0,1.8)"
10349,2023-01-22,2023-01,G1,Atromitos,Olympiakos,away,draw,0.7202777886468802,0.6803939122649956,0.03988387638188462,0.01753627298980109,-0.016161878080089287,1.4,"[1.0,1.8)",False,-1.0,"G1|away|[1.0,1.8)"
10933,2023-02-13,2023-02,G1,AEK,Levadeiakos,home,home,0.9087940335306305,0.8535378525482434,0.05525618098238705,0.01787217097669836,-0.011076732565135194,1.11,"[1.0,1.8)",True,0.1100000000000001,"G1|home|[1.0,1.8)"
11232,2023-02-25,2023-02,G1,AEK,Asteras Tripolis,home,home,0.8622352106884715,0.8210096889342173,0.0412255217542542,0.01787217097669836,-0.012095243537225464,1.17,"[1.0,1.8)",True,0.16999999999999993,"G1|home|[1.0,1.8)"
11657,2023-03-12,2023-03,G1,Atromitos,Panathinaikos,away,away,0.6763198368964503,0.6299212598425197,0.04639857705393058,0.016119308984359284,-0.009699208131863646,1.5,"[1.0,1.8)",True,0.5,"G1|away|[1.0,1.8)"
11676,2023-03-12,2023-03,G1,Aris,Giannina,home,home,0.7114630711741207,0.6499535747446611,0.061509496429459576,0.017260428452691108,0.00659383194607277,1.45,"[1.0,1.8)",True,0.44999999999999996,"G1|home|[1.0,1.8)"
12051,2023-04-02,2023-04,G1,Panathinaikos,Volos NFC,home,draw,0.8498514361248352,0.8017715332926084,0.04807990283222674,0.017383869164490594,-0.017688270986793486,1.18,"[1.0,1.8)",False,-1.0,"G1|home|[1.0,1.8)"
12258,2023-04-09,2023-04,G1,AEK,Aris,home,home,0.7213913448186571,0.6799510719539812,0.04144027286467589,0.017383869164490594,-0.0143895340841671,1.4,"[1.0,1.8)",True,0.3999999999999999,"G1|home|[1.0,1.8)"
12579,2023-04-22,2023-04,G1,Giannina,Panetolikos,draw,home,0.3433619406647742,0.31862745098039214,0.024734489684382077,0.01627118015032083,-0.018727718456639786,3.0,"[2.8,3.5)",False,-1.0,"G1|draw|[2.8,3.5)"
12789,2023-04-29,2023-04,G1,Asteras Tripolis,Lamia,draw,draw,0.3626924770088161,0.3266613290632506,0.0360311479455655,0.01627118015032083,0.004621760889636395,2.9,"[2.8,3.5)",True,1.9,"G1|draw|[2.8,3.5)"
