row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
7450,2022-08-27,2022-08,P1,Boavista,Benfica,away,away,0.747053260258269,0.6914119359534208,0.05564132430484825,0.01856964716580047,-0.00926228619424263,1.36,"[1.0,1.8)",True,0.3600000000000001,"P1|away|[1.0,1.8)"
7502,2022-08-28,2022-08,P1,Arouca,Sp Braga,away,away,0.6124330860248757,0.5634861006761833,0.04894698534869235,0.01856964716580047,-0.014186691493935144,1.66,"[1.0,1.8)",True,0.6599999999999999,"P1|away|[1.0,1.8)"
7508,2022-08-28,2022-08,P1,Rio Ave,Porto,away,home,0.7730453895915637,0.7318695941450433,0.04117579544652039,0.01856964716580047,-0.019181534846507753,1.3,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
7601,2022-09-02,2022-09,P1,Estoril,Sp Lisbon,away,away,0.7006451175194127,0.6418691631412705,0.0587759543781422,0.017547886484551228,-0.009509014999450782,1.45,"[1.0,1.8)",True,0.44999999999999996,"P1|away|[1.0,1.8)"
7681,2022-09-03,2022-09,P1,Gil Vicente,Porto,away,away,0.7036740759239728,0.6500776404176282,0.05359643550634463,0.017547886484551228,-0.01197828720723293,1.44,"[1.0,1.8)",True,0.43999999999999995,"P1|away|[1.0,1.8)"
8017,2022-09-17,2022-09,P1,Boavista,Sp Lisbon,away,home,0.6969200840026324,0.6418691631412705,0.055050920861361874,0.017547886484551228,-0.014910313598782254,1.45,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
8218,2022-10-01,2022-10,P1,Guimaraes,Benfica,away,draw,0.7392328388680953,0.6880733944954128,0.051159444372682494,0.016870311240988835,-0.01758696242713509,1.36,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
9002,2022-10-29,2022-10,P1,Arouca,Sp Lisbon,away,home,0.6978015698751928,0.6441717791411044,0.05362979073408847,0.016870311240988835,-0.012649674980404257,1.45,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
9007,2022-10-29,2022-10,P1,Santa Clara,Porto,away,draw,0.7250097099755354,0.6676557863501484,0.05735392362538694,0.016870311240988835,-0.008604841771634897,1.4,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
9183,2022-11-05,2022-11,P1,Porto,Pacos Ferreira,home,home,0.9198928202209418,0.8379888268156424,0.08190399340529941,0.0173316767402802,0.01086848069834101,1.12,"[1.0,1.8)",True,0.1200000000000001,"P1|home|[1.0,1.8)"
9232,2022-11-06,2022-11,P1,Sp Braga,Casa Pia,home,away,0.7200724794635667,0.6756756756756757,0.044396803787891015,0.0173316767402802,-0.01616287618739909,1.4,"[1.0,1.8)",False,-1.0,"P1|home|[1.0,1.8)"
9462,2022-11-13,2022-11,P1,Benfica,Gil Vicente,home,home,0.8798827912179368,0.8263659342796034,0.05351685693833341,0.0173316767402802,-0.016691729495471597,1.14,"[1.0,1.8)",True,0.1399999999999999,"P1|home|[1.0,1.8)"
9464,2022-11-13,2022-11,P1,Famalicao,Sp Lisbon,away,away,0.6197648216183773,0.5747126436781609,0.04505217794021643,0.01615281864280105,-0.004040195090299181,1.65,"[1.0,1.8)",True,0.6499999999999999,"P1|away|[1.0,1.8)"
9466,2022-11-13,2022-11,P1,Portimonense,Sp Braga,away,away,0.6163081411374626,0.5634861006761833,0.05282204046127925,0.01615281864280105,-0.0037421646588619017,1.66,"[1.0,1.8)",True,0.6599999999999999,"P1|away|[1.0,1.8)"
