row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
14077,2023-09-02,2023-09,B1,Standard,RWD Molenbeek,away,draw,0.29526859274815315,0.25999999999999995,0.035268592748153194,0.016380366772292244,0.003997613513099241,3.6,"[3.5,4.0)",False,-1.0,"B1|away|[3.5,4.0)"
14440,2023-09-22,2023-09,B1,Standard,Westerlo,home,draw,0.5669618246747371,0.5198358413132695,0.04712598336146756,0.01767697351863933,-0.011287267919023902,1.8,"[1.8,2.2)",False,-1.0,"B1|home|[1.8,2.2)"
14653,2023-09-28,2023-09,B1,RWD Molenbeek,St. Gilloise,home,away,0.23377733185450975,0.19825072886297374,0.03552660299153601,0.01767697351863933,0.02647670209538444,4.75,"[4.0,5.0)",False,-1.0,"B1|home|[4.0,5.0)"
14778,2023-10-01,2023-10,B1,RWD Molenbeek,Gent,home,draw,0.24243714445836512,0.20955315870570107,0.03288398575266405,0.017616519927012637,0.011692810391086272,4.5,"[4.0,5.0)",False,-1.0,"B1|home|[4.0,5.0)"
18899,2024-04-01,2024-04,B1,Genk,St. Gilloise,draw,home,0.3036455921899884,0.2780586450960566,0.025586947093931778,0.015100498715221707,-0.01894668218579343,3.4,"[2.8,3.5)",False,-1.0,"B1|draw|[2.8,3.5)"
19171,2024-04-13,2024-04,B1,Genk,Cercle Brugge,draw,draw,0.2889229366018141,0.26001405481377377,0.028908881788040353,0.015100498715221707,-0.014239223608267348,3.6,"[3.5,4.0)",True,2.6,"B1|draw|[3.5,4.0)"
19549,2024-04-27,2024-04,B1,Mechelen,Oud-Heverlee Leuven,home,home,0.5205805533110526,0.4850444624090542,0.035536090901998385,0.01609681524145139,-0.016256710764277593,1.95,"[1.8,2.2)",True,0.95,"B1|home|[1.8,2.2)"
19801,2024-05-05,2024-05,B1,Antwerp,Club Brugge,draw,away,0.29137044280721125,0.26094772416768536,0.030422718639525892,0.015329090912498015,-0.006251133179032364,3.6,"[3.5,4.0)",False,-1.0,"B1|draw|[3.5,4.0)"
20043,2024-05-18,2024-05,B1,Westerlo,Mechelen,draw,away,0.29947086583586324,0.25947046843177196,0.04000039740409128,0.015329090912498015,0.022910389724114966,3.6,"[3.5,4.0)",False,-1.0,"B1|draw|[3.5,4.0)"
20760,2024-09-01,2024-09,B1,Gent,Antwerp,draw,draw,0.3016645110566529,0.2669404517453799,0.03472405931127298,0.015974454306131057,-8.480137317357084e-05,3.5,"[3.5,4.0)",True,2.5,"B1|draw|[3.5,4.0)"
21835,2024-10-26,2024-10,B1,Dender,Mechelen,draw,away,0.3071687703338704,0.27419689119170987,0.03297187914216054,0.015915322842695673,-0.009738278530005862,3.4,"[2.8,3.5)",False,-1.0,"B1|draw|[2.8,3.5)"
22923,2024-12-14,2024-12,B1,Kortrijk,Dender,draw,away,0.31305325568242715,0.2858844550327576,0.027168800649669533,0.015706756112694575,-0.018756551419882528,3.3,"[2.8,3.5)",False,-1.0,"B1|draw|[2.8,3.5)"
23184,2024-12-22,2024-12,B1,St. Gilloise,Club Brugge,draw,draw,0.31840596892517686,0.28571428571428575,0.03269168321089111,0.015706756112694575,-0.01622755835943257,3.25,"[2.8,3.5)",True,2.25,"B1|draw|[2.8,3.5)"
26443,2025-05-10,2025-05,B1,Anderlecht,St. Gilloise,draw,away,0.3127795131125736,0.28526829268292686,0.027511220429646766,0.014679235450896434,-0.016269083716465405,3.3,"[2.8,3.5)",False,-1.0,"B1|draw|[2.8,3.5)"
26532,2025-05-11,2025-05,B1,Gent,Antwerp,draw,away,0.30385109577375136,0.2765957446808511,0.027255351092900282,0.014679235450896434,-0.0168156749022933,3.4,"[2.8,3.5)",False,-1.0,"B1|draw|[2.8,3.5)"
26603,2025-05-17,2025-05,B1,Standard,Dender,home,draw,0.4560858587425413,0.417910447761194,0.0381754109813473,0.015541221692159471,-0.00877456663664089,2.25,"[2.2,2.8)",False,-1.0,"B1|home|[2.2,2.8)"
26783,2025-07-26,2025-07,B1,RAAL La Louviere,Standard,home,away,0.3974956923702114,0.3619302949061662,0.03556539746404519,0.016103532697252534,-0.008380384850306899,2.6,"[2.2,2.8)",False,-1.0,"B1|home|[2.2,2.8)"
27007,2025-08-17,2025-08,B1,Dender,Anderlecht,away,away,0.5190921609390099,0.49015164720237064,0.02894051373663925,0.015216787044992443,-0.01744302090666594,1.95,"[1.8,2.2)",True,0.95,"B1|away|[1.8,2.2)"
27256,2025-08-30,2025-08,B1,Westerlo,Antwerp,draw,home,0.31037582905055805,0.2757777001048584,0.034598128945699635,0.015402096193995836,0.0029106917123113973,3.4,"[2.8,3.5)",False,-1.0,"B1|draw|[2.8,3.5)"
27352,2025-08-31,2025-08,B1,Genk,Waregem,draw,home,0.19457923526675175,0.1710794297352342,0.023499805531517537,0.015402096193995836,-0.014525735099842452,5.5,"[5.0,7.0)",False,-1.0,"B1|draw|[5.0,7.0)"
28392,2025-10-25,2025-10,B1,Gent,Standard,draw,home,0.28788728415942616,0.26027397260273977,0.027613311556686393,0.015356698972126527,-0.01888989332572133,3.6,"[3.5,4.0)",False,-1.0,"B1|draw|[3.5,4.0)"
33272,2026-05-21,2026-05,B1,Gent,St. Gilloise,draw,draw,0.2810084794244474,0.2540322580645161,0.026976221359931274,0.014739923363193413,-0.01480634257336022,3.7,"[3.5,4.0)",True,2.7,"B1|draw|[3.5,4.0)"
