date,month,league,home_team,away_team,outcome,actual_result,bucket_id,probability,market_probability,model_market_delta,lower_ev,odds,stake,won,profit
2023-02-11,2023-02,E3,Barrow,Newport County,draw,away,"E3|draw|[2.8,3.5)",0.320794,0.298995,0.021799,-0.008839,3.2,1.0,False,-1.0
2023-02-14,2023-02,E3,Crewe,Hartlepool,draw,home,"E3|draw|[2.8,3.5)",0.320521,0.29753,0.022991,-0.009713,3.2,1.0,False,-1.0
2023-03-07,2023-03,E3,Walsall,Bradford,draw,draw,"E3|draw|[2.8,3.5)",0.322882,0.298613,0.024269,-0.001798,3.2,1.0,True,2.2
2023-03-18,2023-03,E3,Walsall,Gillingham,draw,home,"E3|draw|[2.8,3.5)",0.33615,0.306787,0.029363,0.008141,3.1,1.0,False,-1.0
2023-03-21,2023-03,E3,Bradford,Carlisle,draw,draw,"E3|draw|[2.8,3.5)",0.333901,0.305692,0.02821,0.001168,3.1,1.0,True,2.1
2023-04-01,2023-04,E3,Leyton Orient,Carlisle,draw,home,"E3|draw|[2.8,3.5)",0.362158,0.315789,0.046368,0.053867,3.0,1.0,False,-1.0
2023-04-10,2023-04,E3,Walsall,Carlisle,draw,draw,"E3|draw|[2.8,3.5)",0.350837,0.318402,0.032435,0.019905,3.0,1.0,True,2.0
2023-04-15,2023-04,E3,Swindon,Barrow,draw,draw,"E3|draw|[2.8,3.5)",0.32804,0.298613,0.029428,0.014949,3.2,1.0,True,2.2
2023-04-18,2023-04,E3,Crawley Town,Colchester,draw,draw,"E3|draw|[2.8,3.5)",0.350425,0.310122,0.040303,0.052625,3.1,1.0,True,2.1
2023-04-18,2023-04,E3,Sutton,Northampton,draw,away,"E3|draw|[2.8,3.5)",0.329258,0.305304,0.023954,-0.012993,3.1,1.0,False,-1.0
2023-05-08,2023-05,E3,Barrow,Stevenage,away,away,"E3|away|[2.2,2.8)",0.461361,0.432203,0.029158,-0.008659,2.2,1.0,True,1.2
2023-08-15,2023-08,E3,Forest Green,Swindon,away,away,"E3|away|[2.2,2.8)",0.384316,0.363954,0.020362,-0.019472,2.63,1.0,True,1.63
2023-08-19,2023-08,E3,Forest Green,Newport County,draw,away,"E3|draw|[2.8,3.5)",0.313632,0.289456,0.024175,-0.003146,3.3,1.0,False,-1.0
2023-08-19,2023-08,E3,Colchester,Milton Keynes Dons,draw,away,"E3|draw|[2.8,3.5)",0.312824,0.288248,0.024576,-0.005811,3.3,1.0,False,-1.0
2023-09-02,2023-09,E3,Crewe,Milton Keynes Dons,away,home,"E3|away|[2.2,2.8)",0.43864,0.413495,0.025145,-0.017819,2.3,1.0,False,-1.0
2023-09-15,2023-09,E3,Salford,Notts County,away,away,"E3|away|[2.2,2.8)",0.470535,0.432473,0.038061,0.009645,2.2,1.0,True,1.2
2023-09-16,2023-09,E3,Forest Green,Doncaster,draw,away,"E3|draw|[2.8,3.5)",0.30034,0.279661,0.020679,-0.018363,3.4,1.0,False,-1.0
2023-09-23,2023-09,E3,Harrogate,Salford,away,home,"E3|away|[2.2,2.8)",0.421773,0.395683,0.026089,-0.015597,2.4,1.0,False,-1.0
2023-09-23,2023-09,E3,Sutton,Milton Keynes Dons,draw,draw,"E3|draw|[2.8,3.5)",0.300806,0.280351,0.020454,-0.016778,3.4,1.0,True,2.4
2023-10-20,2023-10,E3,Tranmere,Doncaster,draw,away,"E3|draw|[2.8,3.5)",0.308871,0.288531,0.02034,-0.019535,3.3,1.0,False,-1.0
2023-10-21,2023-10,E3,Bradford,Wrexham,away,draw,"E3|away|[2.2,2.8)",0.438925,0.39898,0.039944,0.016711,2.38,1.0,False,-1.0
2023-11-11,2023-11,E3,Crewe,Notts County,away,home,"E3|away|[2.2,2.8)",0.461007,0.432173,0.028834,-0.011596,2.2,1.0,False,-1.0
2024-01-01,2024-01,E3,Crewe,Bradford,away,home,"E3|away|[2.2,2.8)",0.442356,0.412574,0.029782,-0.008058,2.3,1.0,False,-1.0
2024-01-30,2024-01,E3,Sutton,Harrogate,away,away,"E3|away|[2.2,2.8)",0.418598,0.362066,0.056532,0.07178,2.63,1.0,True,1.63
2024-02-24,2024-02,E3,Accrington,Crawley Town,draw,away,"E3|draw|[2.8,3.5)",0.306085,0.279661,0.026424,0.00328,3.4,1.0,False,-1.0
2024-03-05,2024-03,E3,Barrow,Gillingham,draw,home,"E3|draw|[2.8,3.5)",0.35611,0.288136,0.067974,0.138996,3.3,1.0,False,-1.0
2024-04-01,2024-04,E3,Notts County,Milton Keynes Dons,away,draw,"E3|away|[2.2,2.8)",0.41799,0.381625,0.036365,0.01836,2.5,1.0,False,-1.0
