date,month,league,home_team,away_team,outcome,actual_result,bucket_id,probability,market_probability,model_market_delta,lower_ev,odds,stake,won,profit
2024-01-13,2024-01,I1,Genoa,Torino,draw,draw,"I1|draw|[2.8,3.5)",0.342493,0.314944,0.027549,-0.013757,3.0,1.0,True,2.0
2024-02-18,2024-02,I1,Lazio,Bologna,draw,away,"I1|draw|[2.8,3.5)",0.359847,0.306787,0.05306,0.074128,3.1,1.0,False,-1.0
2024-02-22,2024-02,I1,Torino,Lazio,draw,away,"I1|draw|[2.8,3.5)",0.35323,0.322514,0.030716,-0.01436,2.9,1.0,False,-1.0
2024-02-24,2024-02,I1,Sassuolo,Empoli,draw,away,"I1|draw|[2.8,3.5)",0.305125,0.279661,0.025464,-0.00798,3.4,1.0,False,-1.0
2024-08-24,2024-08,I1,Monza,Genoa,draw,away,"I1|draw|[2.8,3.5)",0.337962,0.305932,0.03203,0.004988,3.1,1.0,False,-1.0
2024-08-25,2024-08,I1,Torino,Atalanta,draw,home,"I1|draw|[2.8,3.5)",0.330329,0.305692,0.024638,-0.018674,3.1,1.0,False,-1.0
2024-10-19,2024-10,I1,Como,Parma,home,draw,"I1|home|[1.8,2.2)",0.520702,0.48666,0.034043,-0.013495,1.95,1.0,False,-1.0
2024-12-01,2024-12,I1,Udinese,Genoa,draw,away,"I1|draw|[2.8,3.5)",0.311398,0.28777,0.023628,-0.019658,3.3,1.0,False,-1.0
2024-12-09,2024-12,I1,Monza,Udinese,draw,away,"I1|draw|[2.8,3.5)",0.341733,0.317181,0.024552,-0.017776,3.0,1.0,False,-1.0
2024-12-13,2024-12,I1,Empoli,Torino,draw,away,"I1|draw|[2.8,3.5)",0.363497,0.330396,0.033101,0.005617,2.88,1.0,False,-1.0
2024-12-15,2024-12,I1,Lecce,Monza,draw,home,"I1|draw|[2.8,3.5)",0.355018,0.316257,0.038762,0.022082,3.0,1.0,False,-1.0
2024-12-21,2024-12,I1,Torino,Bologna,draw,away,"I1|draw|[2.8,3.5)",0.366531,0.326535,0.039996,0.021398,2.9,1.0,False,-1.0
2024-12-22,2024-12,I1,Venezia,Cagliari,draw,home,"I1|draw|[2.8,3.5)",0.317209,0.288531,0.028678,-0.000481,3.3,1.0,False,-1.0
2024-12-28,2024-12,I1,Lazio,Atalanta,draw,draw,"I1|draw|[2.8,3.5)",0.311707,0.28777,0.023937,-0.018637,3.3,1.0,True,2.3
2024-12-29,2024-12,I1,Juventus,Fiorentina,draw,draw,"I1|draw|[2.8,3.5)",0.317898,0.28752,0.030378,0.001793,3.3,1.0,True,2.3
2025-02-01,2025-02,I1,Udinese,Venezia,draw,home,"I1|draw|[2.8,3.5)",0.304395,0.276742,0.027653,-0.010654,3.4,1.0,False,-1.0
2025-02-22,2025-02,I1,Torino,Milan,draw,home,"I1|draw|[2.8,3.5)",0.311509,0.286029,0.02548,-0.016275,3.3,1.0,False,-1.0
2025-02-23,2025-02,I1,Verona,Fiorentina,draw,home,"I1|draw|[2.8,3.5)",0.305675,0.279744,0.025931,-0.006301,3.4,1.0,False,-1.0
2025-03-02,2025-03,I1,Milan,Lazio,home,away,"I1|home|[1.8,2.2)",0.496865,0.464003,0.032862,-0.009939,2.05,1.0,False,-1.0
2025-09-27,2025-09,I1,Juventus,Atalanta,home,draw,"I1|home|[1.8,2.2)",0.551055,0.511675,0.03938,-0.008658,1.85,1.0,False,-1.0
2025-10-04,2025-10,I1,Parma,Lecce,home,away,"I1|home|[1.8,2.2)",0.545543,0.5125,0.033043,-0.019002,1.85,1.0,False,-1.0
2025-10-26,2025-10,I1,Sassuolo,Roma,away,away,"I1|away|[1.8,2.2)",0.548495,0.515548,0.032946,-0.011663,1.85,1.0,True,0.85
2026-02-07,2026-02,I1,Genoa,Napoli,away,away,"I1|away|[1.8,2.2)",0.521171,0.489546,0.031624,-0.009425,1.95,1.0,True,0.95
