row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
11730,2023-03-17,2023-03,P1,Santa Clara,Rio Ave,draw,away,0.3894127492591629,0.3170731707317074,0.07233957852745554,0.015066186187600663,0.12303968921468678,3.0,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
12728,2023-04-28,2023-04,P1,Rio Ave,Arouca,draw,home,0.3518706960533054,0.3132604660754795,0.03861022997782587,0.015063773647906481,0.010420767216196669,3.0,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
14155,2023-09-02,2023-09,P1,Famalicao,Farense,home,home,0.5658556520486715,0.5220012055455093,0.04385444650316217,0.016971744555247997,-0.012008966511837582,1.8,"[1.8,2.2)",True,0.8,"P1|home|[1.8,2.2)"
16892,2024-01-06,2024-01,P1,Arouca,Benfica,home,away,0.18980633482012743,0.1596638655462185,0.03014246927390893,0.01660864423833029,0.039186143490782976,6.0,"[5.0,7.0)",False,-1.0,"P1|home|[5.0,7.0)"
16930,2024-01-12,2024-01,P1,Portimonense,Farense,home,home,0.38953562922135204,0.35752979414951247,0.03200583507183957,0.01660864423833029,-0.019202029494652884,2.63,"[2.2,2.8)",True,1.63,"P1|home|[2.2,2.8)"
17694,2024-02-10,2024-02,P1,Farense,Famalicao,away,draw,0.3756859994673479,0.34747637241101953,0.028209627056328346,0.014720118821188228,-0.007343828223061011,2.75,"[2.2,2.8)",False,-1.0,"P1|away|[2.2,2.8)"
17938,2024-02-18,2024-02,P1,Casa Pia,Arouca,draw,home,0.3571682520294718,0.3138041733547351,0.043364078674736684,0.014926936345442897,0.026723947052086583,3.0,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
17956,2024-02-19,2024-02,P1,Moreirense,Sp Lisbon,draw,away,0.22306649403004508,0.1871559633027523,0.03591053072729278,0.014926936345442897,0.04069778842301086,5.0,"[5.0,7.0)",False,-1.0,"P1|draw|[5.0,7.0)"
18116,2024-02-25,2024-02,P1,Rio Ave,Sp Lisbon,draw,draw,0.22940002913260904,0.18862690707350901,0.040773122059100025,0.014926936345442897,0.07236546393583065,5.0,"[5.0,7.0)",True,4.0,"P1|draw|[5.0,7.0)"
18331,2024-03-03,2024-03,P1,Porto,Benfica,draw,home,0.2956006405628867,0.26877470355731226,0.02682593700557445,0.014959984853586574,-0.017757705017449554,3.5,"[3.5,4.0)",False,-1.0,"P1|draw|[3.5,4.0)"
18837,2024-03-30,2024-03,P1,Boavista,Rio Ave,draw,draw,0.3433948878418789,0.3192261185006046,0.024168769341274265,0.014959984853586574,-0.014695291035123015,3.0,"[2.8,3.5)",True,2.0,"P1|draw|[2.8,3.5)"
19082,2024-04-06,2024-04,P1,Sp Lisbon,Benfica,home,home,0.5244088979913873,0.4901960784313726,0.03421281956001476,0.015861321447760836,-0.008332225739928423,1.95,"[1.8,2.2)",True,0.95,"P1|home|[1.8,2.2)"
19301,2024-04-14,2024-04,P1,Portimonense,Casa Pia,draw,draw,0.32206034237703474,0.2986125075407199,0.02344783483631485,0.01487958087055952,-0.017021563179279275,3.2,"[2.8,3.5)",True,2.2,"P1|draw|[2.8,3.5)"
19961,2024-05-12,2024-05,P1,Gil Vicente,Farense,draw,home,0.29792884390910374,0.26865671641791045,0.02927212749119329,0.014832145037203228,-0.009161553948348167,3.5,"[3.5,4.0)",False,-1.0,"P1|draw|[3.5,4.0)"
20999,2024-09-16,2024-09,P1,Estrela,Boavista,draw,draw,0.3152622828031864,0.2846194784459819,0.03064280435720451,0.015446376967038543,-0.01060751074071209,3.3,"[2.8,3.5)",True,2.3,"P1|draw|[2.8,3.5)"
23312,2024-12-28,2024-12,P1,AVS,Estrela,draw,draw,0.3512291532685216,0.3132604660754795,0.03796868719304208,0.016218140079687075,0.005033039566503472,3.0,"[2.8,3.5)",True,2.0,"P1|draw|[2.8,3.5)"
23384,2024-12-30,2024-12,P1,Famalicao,Santa Clara,draw,away,0.3750243612619659,0.3245679939894816,0.050456367272484315,0.016218140079687075,0.04053804142860851,2.9,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
23984,2025-01-26,2025-01,P1,Estoril,Guimaraes,away,home,0.5562789043029914,0.5143906919779547,0.0418882123250367,0.015086434639974475,-0.009617780516678942,1.83,"[1.8,2.2)",False,-1.0,"P1|away|[1.8,2.2)"
24850,2025-03-01,2025-03,P1,Nacional,Famalicao,draw,home,0.36324687220395163,0.3136439267886855,0.04960294541526611,0.014858370131650776,0.04516550621690252,3.0,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
25106,2025-03-10,2025-03,P1,Famalicao,Rio Ave,draw,home,0.3131612312983972,0.28594420600858367,0.027217025289813512,0.014858370131650776,-0.01560055814973682,3.3,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
25510,2025-04-01,2025-04,P1,Boavista,Gil Vicente,draw,away,0.34856947589882037,0.2897350993377484,0.05883437656107199,0.014828211927712257,0.1013461711046566,3.3,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
25692,2025-04-07,2025-04,P1,Rio Ave,Boavista,draw,away,0.3115942078561142,0.27828848403810796,0.03330572381800623,0.014828211927712257,0.009004386156566513,3.4,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
26914,2025-08-10,2025-08,P1,Moreirense,Alverca,draw,home,0.342977631049865,0.2930232558139535,0.04995437523591151,0.015558466661802814,0.047741326041798926,3.2,"[2.8,3.5)",False,-1.0,"P1|draw|[2.8,3.5)"
