row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
11252,2023-02-25,2023-02,SC0,Aberdeen,Livingston,draw,home,0.2905547539503014,0.2629441624365482,0.02761059151375317,0.01719416741341922,-0.01590188846722418,3.6,"[3.5,4.0)",False,-1.0,"SC0|draw|[3.5,4.0)"
15711,2023-11-11,2023-11,SC0,Motherwell,Hearts,away,away,0.42851995966799283,0.3956834532374101,0.032836506430582724,0.018459511475464034,-0.015854924337930898,2.4,"[2.2,2.8)",True,1.4,"SC0|away|[2.2,2.8)"
16800,2023-12-30,2023-12,SC0,Hearts,Ross County,away,draw,0.21460841382979529,0.19022379269729095,0.024384621132504336,0.01832340864123545,-0.018574974057200766,5.0,"[5.0,7.0)",False,-1.0,"SC0|away|[5.0,7.0)"
17302,2024-01-27,2024-01,SC0,Livingston,Dundee,draw,away,0.46280701391734513,0.31718061674008813,0.145626397177257,0.017512365275782465,0.33588394592468784,3.0,"[2.8,3.5)",False,-1.0,"SC0|draw|[2.8,3.5)"
17304,2024-01-27,2024-01,SC0,St Mirren,Rangers,draw,away,0.19593411484265869,0.15918367346938778,0.03675044137327091,0.017512365275782465,0.07053049740125727,6.0,"[5.0,7.0)",False,-1.0,"SC0|draw|[5.0,7.0)"
17306,2024-01-27,2024-01,SC0,Kilmarnock,Hibernian,draw,draw,0.3262017071421572,0.2781844802342606,0.04801722690789656,0.017512365275782465,0.049543762345674036,3.4,"[2.8,3.5)",True,2.4,"SC0|draw|[2.8,3.5)"
17892,2024-02-17,2024-02,SC0,Hearts,Motherwell,draw,home,0.28433587365442303,0.2578164585258263,0.026519415128596735,0.017302772347370612,-0.011977525163905933,3.7,"[3.5,4.0)",False,-1.0,"SC0|draw|[3.5,4.0)"
18663,2024-03-16,2024-03,SC0,Motherwell,Aberdeen,draw,away,0.3445627632368272,0.30670926517571884,0.03785349806110838,0.017107397176327813,0.015111634787548178,3.1,"[2.8,3.5)",False,-1.0,"SC0|draw|[2.8,3.5)"
19629,2024-04-27,2024-04,SC0,Livingston,Ross County,draw,home,0.30570283356510275,0.2801358234295416,0.025567010135561175,0.016960055239911648,-0.01827455369435016,3.4,"[2.8,3.5)",False,-1.0,"SC0|draw|[2.8,3.5)"
19908,2024-05-11,2024-05,SC0,Livingston,St Johnstone,draw,home,0.3575983916756701,0.3268219383921863,0.030776453283483773,0.017305652954485596,-0.019956912482988698,2.88,"[2.8,3.5)",False,-1.0,"SC0|draw|[2.8,3.5)"
26832,2025-08-03,2025-08,SC0,Dundee,Hibernian,away,away,0.5589293078713571,0.5115940521992305,0.0473352556721266,0.017960894361854187,-0.01002780327760977,1.83,"[1.8,2.2)",True,0.8300000000000001,"SC0|away|[1.8,2.2)"
26834,2025-08-03,2025-08,SC0,Falkirk,Dundee United,home,draw,0.5531656300641667,0.5,0.05316563006416675,0.019283253715038074,0.014376515063344586,1.9,"[1.8,2.2)",False,-1.0,"SC0|home|[1.8,2.2)"
27379,2025-08-31,2025-08,SC0,Dundee,Dundee United,home,away,0.4207443554594369,0.37247666594313,0.04826768951630689,0.019283253715038074,-0.016420300726222803,2.45,"[2.2,2.8)",False,-1.0,"SC0|home|[2.2,2.8)"
27382,2025-08-31,2025-08,SC0,Hibernian,St Mirren,draw,draw,0.31638358310199766,0.26531577415599533,0.051067808946002324,0.018179621090413507,0.043713867040544585,3.5,"[3.5,4.0)",True,2.5,"SC0|draw|[3.5,4.0)"
27898,2025-09-27,2025-09,SC0,Motherwell,Aberdeen,draw,home,0.31702991156289767,0.2671232876712329,0.04990662389166478,0.018469187269056976,0.044962535028442385,3.5,"[3.5,4.0)",False,-1.0,"SC0|draw|[3.5,4.0)"
28521,2025-10-26,2025-10,SC0,Hearts,Celtic,away,home,0.4976325858989492,0.4545013110614742,0.04313127483747503,0.018455710015453344,-0.017687404438833543,2.05,"[1.8,2.2)",False,-1.0,"SC0|away|[1.8,2.2)"
30644,2026-01-31,2026-01,SC0,Dundee United,Hearts,draw,away,0.2965541440282303,0.25794048360455984,0.03861366042367048,0.017650427760089453,0.004053378565307186,3.6,"[3.5,4.0)",False,-1.0,"SC0|draw|[3.5,4.0)"
