row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
7139,2022-08-14,2022-08,SP2,Ibiza,Granada,draw,away,0.3215167379060484,0.2995464405442714,0.021970297361777025,0.0152226667307121,-0.019858972238923744,3.2,"[2.8,3.5)",False,-1.0,"SP2|draw|[2.8,3.5)"
7349,2022-08-22,2022-08,SP2,Malaga,Las Palmas,draw,away,0.33241956075680135,0.30643399732663906,0.025985563430162284,0.0152226667307121,-0.016689628519123256,3.1,"[2.8,3.5)",False,-1.0,"SP2|draw|[2.8,3.5)"
7367,2022-08-26,2022-08,SP2,Albacete,Huesca,home,home,0.4162731528266226,0.3875,0.028773152826622572,0.016160534852597688,-0.019724085963638838,2.45,"[2.2,2.8)",True,1.4500000000000002,"SP2|home|[2.2,2.8)"
7460,2022-08-27,2022-08,SP2,Levante,Tenerife,away,home,0.24349085732208295,0.2131309798746288,0.030359877447454137,0.015109615067998731,0.027715590143378988,4.5,"[4.0,5.0)",False,-1.0,"SP2|away|[4.0,5.0)"
7462,2022-08-27,2022-08,SP2,Mirandes,Malaga,draw,away,0.33250272324897046,0.30670926517571884,0.02579345807325162,0.0152226667307121,-0.016431824793399108,3.1,"[2.8,3.5)",False,-1.0,"SP2|draw|[2.8,3.5)"
7517,2022-08-28,2022-08,SP2,Ibiza,Alaves,draw,draw,0.3152170778563302,0.2877697841726619,0.027447293683668272,0.0152226667307121,-0.01001844328546031,3.3,"[2.8,3.5)",True,2.3,"SP2|draw|[2.8,3.5)"
7712,2022-09-04,2022-09,SP2,Malaga,Albacete,draw,away,0.3165782222612828,0.2928870292887029,0.023691192972579878,0.014699736016882686,-0.018894919705699675,3.25,"[2.8,3.5)",False,-1.0,"SP2|draw|[2.8,3.5)"
8081,2022-09-18,2022-09,SP2,Leganes,Burgos,draw,draw,0.3345662396633001,0.29452290733723735,0.040043332326062775,0.014699736016882686,0.023572811668535865,3.2,"[2.8,3.5)",True,2.2,"SP2|draw|[2.8,3.5)"
8924,2022-10-28,2022-10,SP2,Tenerife,Zaragoza,draw,away,0.4056062987833771,0.3309017071519892,0.07470459163138793,0.014045189590793653,0.12378038338271469,2.87,"[2.8,3.5)",False,-1.0,"SP2|draw|[2.8,3.5)"
9252,2022-11-07,2022-11,SP2,Lugo,Cartagena,draw,draw,0.4409704358194907,0.33099142568382617,0.10997901013566452,0.01326027036406223,0.22752817485707966,2.87,"[2.8,3.5)",True,1.87,"SP2|draw|[2.8,3.5)"
