date,bets,staked,profit,month
2022-12-25,0,0.0,0.0,2022-12
2023-02-25,0,0.0,0.0,2023-02
2023-04-09,0,0.0,0.0,2023-04
2023-04-10,0,0.0,0.0,2023-04
2023-04-11,0,0.0,0.0,2023-04
2023-04-12,0,0.0,0.0,2023-04
2023-04-13,0,0.0,0.0,2023-04
2023-04-14,0,0.0,0.0,2023-04
2023-05-30,0,0.0,0.0,2023-05
2023-06-03,0,0.0,0.0,2023-06
2023-11-25,0,0.0,0.0,2023-11
2023-11-26,0,0.0,0.0,2023-11
2024-01-29,0,0.0,0.0,2024-01
2024-02-10,0,0.0,0.0,2024-02
2024-03-04,0,0.0,0.0,2024-03
2024-03-05,0,0.0,0.0,2024-03
2024-03-06,0,0.0,0.0,2024-03
2024-03-07,0,0.0,0.0,2024-03
2024-03-08,0,0.0,0.0,2024-03
2024-03-09,0,0.0,0.0,2024-03
2024-03-10,0,0.0,0.0,2024-03
2024-03-11,0,0.0,0.0,2024-03
2024-03-12,0,0.0,0.0,2024-03
2024-03-13,0,0.0,0.0,2024-03
2024-03-14,0,0.0,0.0,2024-03
2024-03-15,0,0.0,0.0,2024-03
2024-03-16,0,0.0,0.0,2024-03
2024-03-17,0,0.0,0.0,2024-03
2024-04-14,0,0.0,0.0,2024-04
2024-04-15,0,0.0,0.0,2024-04
2024-04-16,0,0.0,0.0,2024-04
2024-04-17,0,0.0,0.0,2024-04
2024-04-18,0,0.0,0.0,2024-04
2024-04-19,0,0.0,0.0,2024-04
2024-04-20,0,0.0,0.0,2024-04
2024-04-21,0,0.0,0.0,2024-04
2024-05-04,0,0.0,0.0,2024-05
2024-05-05,0,0.0,0.0,2024-05
2024-05-06,0,0.0,0.0,2024-05
2024-05-07,0,0.0,0.0,2024-05
2024-05-08,0,0.0,0.0,2024-05
2024-05-09,0,0.0,0.0,2024-05
2024-05-10,0,0.0,0.0,2024-05
2024-05-11,0,0.0,0.0,2024-05
2024-05-12,0,0.0,0.0,2024-05
2024-05-13,0,0.0,0.0,2024-05
2024-05-14,0,0.0,0.0,2024-05
2024-05-15,0,0.0,0.0,2024-05
2024-05-16,0,0.0,0.0,2024-05
2024-05-17,0,0.0,0.0,2024-05
2024-05-18,0,0.0,0.0,2024-05
2024-05-19,0,0.0,0.0,2024-05
2024-05-20,0,0.0,0.0,2024-05
2024-05-21,0,0.0,0.0,2024-05
2024-05-22,0,0.0,0.0,2024-05
2024-05-23,0,0.0,0.0,2024-05
2024-05-24,0,0.0,0.0,2024-05
2024-05-25,0,0.0,0.0,2024-05
2024-05-26,0,0.0,0.0,2024-05
2024-08-11,0,0.0,0.0,2024-08
2024-08-12,0,0.0,0.0,2024-08
2024-08-13,0,0.0,0.0,2024-08
2024-08-14,0,0.0,0.0,2024-08
2024-08-15,0,0.0,0.0,2024-08
2024-08-16,0,0.0,0.0,2024-08
2024-08-17,0,0.0,0.0,2024-08
2024-09-01,0,0.0,0.0,2024-09
2024-09-02,0,0.0,0.0,2024-09
2024-09-03,0,0.0,0.0,2024-09
2024-09-04,0,0.0,0.0,2024-09
2024-09-05,0,0.0,0.0,2024-09
2024-09-06,0,0.0,0.0,2024-09
2024-09-07,0,0.0,0.0,2024-09
2024-09-08,0,0.0,0.0,2024-09
2024-09-09,0,0.0,0.0,2024-09
2024-09-10,0,0.0,0.0,2024-09
2024-09-11,0,0.0,0.0,2024-09
2024-09-12,0,0.0,0.0,2024-09
2024-09-13,0,0.0,0.0,2024-09
2024-09-14,0,0.0,0.0,2024-09
2024-09-15,0,0.0,0.0,2024-09
2024-09-16,0,0.0,0.0,2024-09
2024-09-17,0,0.0,0.0,2024-09
2024-09-18,0,0.0,0.0,2024-09
2024-09-19,0,0.0,0.0,2024-09
2024-09-20,0,0.0,0.0,2024-09
2024-09-21,0,0.0,0.0,2024-09
2024-09-22,0,0.0,0.0,2024-09
2024-09-23,0,0.0,0.0,2024-09
2024-10-05,0,0.0,0.0,2024-10
2024-10-06,0,0.0,0.0,2024-10
2024-10-07,0,0.0,0.0,2024-10
2024-10-08,0,0.0,0.0,2024-10
2024-10-09,0,0.0,0.0,2024-10
2024-10-10,0,0.0,0.0,2024-10
2024-10-11,0,0.0,0.0,2024-10
2024-10-12,0,0.0,0.0,2024-10
2024-10-13,0,0.0,0.0,2024-10
2024-10-14,0,0.0,0.0,2024-10
2024-10-15,0,0.0,0.0,2024-10
2024-10-16,0,0.0,0.0,2024-10
2024-10-17,0,0.0,0.0,2024-10
2024-10-18,0,0.0,0.0,2024-10
2024-10-19,0,0.0,0.0,2024-10
2024-10-20,0,0.0,0.0,2024-10
2024-10-21,0,0.0,0.0,2024-10
2024-10-22,0,0.0,0.0,2024-10
2024-10-23,0,0.0,0.0,2024-10
2024-10-24,0,0.0,0.0,2024-10
2024-10-25,0,0.0,0.0,2024-10
2024-11-03,0,0.0,0.0,2024-11
2024-11-04,0,0.0,0.0,2024-11
2024-11-05,0,0.0,0.0,2024-11
2024-11-06,0,0.0,0.0,2024-11
2024-11-07,0,0.0,0.0,2024-11
2024-11-08,0,0.0,0.0,2024-11
2024-11-09,0,0.0,0.0,2024-11
2024-11-10,0,0.0,0.0,2024-11
2024-11-11,0,0.0,0.0,2024-11
2024-11-12,0,0.0,0.0,2024-11
2024-11-13,0,0.0,0.0,2024-11
2024-11-14,0,0.0,0.0,2024-11
2024-11-15,0,0.0,0.0,2024-11
2024-11-16,0,0.0,0.0,2024-11
2024-11-17,0,0.0,0.0,2024-11
2024-11-18,0,0.0,0.0,2024-11
2024-11-19,0,0.0,0.0,2024-11
2024-11-20,0,0.0,0.0,2024-11
2024-11-21,0,0.0,0.0,2024-11
2024-11-22,0,0.0,0.0,2024-11
2024-11-23,0,0.0,0.0,2024-11
2024-11-24,0,0.0,0.0,2024-11
2024-11-25,0,0.0,0.0,2024-11
2024-11-26,0,0.0,0.0,2024-11
2024-11-27,0,0.0,0.0,2024-11
2024-11-28,0,0.0,0.0,2024-11
2024-11-29,0,0.0,0.0,2024-11
2024-12-02,0,0.0,0.0,2024-12
2024-12-03,0,0.0,0.0,2024-12
2024-12-04,0,0.0,0.0,2024-12
2024-12-05,0,0.0,0.0,2024-12
2024-12-06,0,0.0,0.0,2024-12
2024-12-07,0,0.0,0.0,2024-12
2024-12-08,0,0.0,0.0,2024-12
2024-12-09,0,0.0,0.0,2024-12
2024-12-10,0,0.0,0.0,2024-12
2024-12-11,0,0.0,0.0,2024-12
2024-12-12,0,0.0,0.0,2024-12
2024-12-13,0,0.0,0.0,2024-12
2025-01-12,0,0.0,0.0,2025-01
2025-01-13,0,0.0,0.0,2025-01
2025-01-14,0,0.0,0.0,2025-01
2025-01-15,0,0.0,0.0,2025-01
2025-01-16,0,0.0,0.0,2025-01
2025-01-17,0,0.0,0.0,2025-01
2025-01-18,0,0.0,0.0,2025-01
2025-01-19,0,0.0,0.0,2025-01
2025-02-15,0,0.0,0.0,2025-02
2025-03-03,0,0.0,0.0,2025-03
2025-04-05,0,0.0,0.0,2025-04
2025-04-06,0,0.0,0.0,2025-04
2025-04-07,0,0.0,0.0,2025-04
2025-04-08,0,0.0,0.0,2025-04
2025-04-09,0,0.0,0.0,2025-04
2025-04-10,0,0.0,0.0,2025-04
2025-04-11,0,0.0,0.0,2025-04
2025-04-12,0,0.0,0.0,2025-04
2025-04-13,0,0.0,0.0,2025-04
2025-04-14,0,0.0,0.0,2025-04
2025-04-15,0,0.0,0.0,2025-04
2025-04-16,0,0.0,0.0,2025-04
2025-04-17,0,0.0,0.0,2025-04
2025-04-18,0,0.0,0.0,2025-04
2025-04-19,0,0.0,0.0,2025-04
2025-04-20,0,0.0,0.0,2025-04
2025-04-21,0,0.0,0.0,2025-04
2025-04-22,0,0.0,0.0,2025-04
2025-04-23,0,0.0,0.0,2025-04
2025-04-24,0,0.0,0.0,2025-04
2025-04-25,0,0.0,0.0,2025-04
2025-04-26,0,0.0,0.0,2025-04
2025-05-04,0,0.0,0.0,2025-05
2025-05-05,0,0.0,0.0,2025-05
2025-05-06,0,0.0,0.0,2025-05
