date,month,league,home_team,away_team,outcome,actual_result,bucket_id,probability,market_probability,model_market_delta,lower_ev,odds,stake,won,profit
2024-03-16,2024-03,I2,Cittadella,Modena,draw,draw,"I2|draw|[2.8,3.5)",0.361753,0.325443,0.036311,0.011062,2.9,1.0,True,1.9
2024-04-19,2024-04,I2,Reggiana,Cosenza,draw,away,"I2|draw|[2.8,3.5)",0.36314,0.330844,0.032295,0.008016,2.88,1.0,False,-1.0
2024-08-28,2024-08,I2,Cosenza,Spezia,draw,draw,"I2|draw|[2.8,3.5)",0.318365,0.289544,0.02882,-0.010892,3.25,1.0,True,2.25
2024-09-27,2024-09,I2,Cittadella,Frosinone,draw,away,"I2|draw|[2.8,3.5)",0.319175,0.289435,0.02974,-0.008659,3.25,1.0,False,-1.0
2024-10-06,2024-10,I2,Cosenza,Sudtirol,draw,away,"I2|draw|[2.8,3.5)",0.353561,0.322173,0.031388,-0.015726,2.9,1.0,False,-1.0
2024-10-27,2024-10,I2,Catanzaro,Sudtirol,draw,home,"I2|draw|[2.8,3.5)",0.373431,0.326975,0.046456,0.023935,2.85,1.0,False,-1.0
2024-10-29,2024-10,I2,Modena,Cremonese,draw,draw,"I2|draw|[2.8,3.5)",0.373836,0.333333,0.040503,0.007104,2.8,1.0,True,1.8
2024-11-10,2024-11,I2,Reggiana,Catanzaro,draw,draw,"I2|draw|[2.8,3.5)",0.323029,0.292634,0.030394,-0.011826,3.2,1.0,True,2.2
2024-12-06,2024-12,I2,Juve Stabia,Sudtirol,draw,home,"I2|draw|[2.8,3.5)",0.394582,0.32932,0.065262,0.095263,2.88,1.0,False,-1.0
2024-12-14,2024-12,I2,Reggiana,Modena,draw,away,"I2|draw|[2.8,3.5)",0.406981,0.334403,0.072578,0.099556,2.8,1.0,False,-1.0
2025-01-12,2025-01,I2,Reggiana,Bari,draw,draw,"I2|draw|[2.8,3.5)",0.390386,0.33389,0.056496,0.054936,2.8,1.0,True,1.8
2025-01-12,2025-01,I2,Brescia,Sampdoria,draw,draw,"I2|draw|[2.8,3.5)",0.320607,0.293952,0.026655,-0.017651,3.2,1.0,True,2.2
2025-02-02,2025-02,I2,Sudtirol,Reggiana,draw,home,"I2|draw|[2.8,3.5)",0.391667,0.334298,0.057368,0.059482,2.8,1.0,False,-1.0
2025-02-16,2025-02,I2,Frosinone,Reggiana,draw,draw,"I2|draw|[2.8,3.5)",0.376779,0.327326,0.049453,0.046876,2.88,1.0,True,1.88
2025-02-22,2025-02,I2,Reggiana,Carrarese,draw,draw,"I2|draw|[2.8,3.5)",0.386393,0.334324,0.052069,0.044717,2.8,1.0,True,1.8
2025-02-22,2025-02,I2,Pisa,Juve Stabia,draw,home,"I2|draw|[2.8,3.5)",0.321134,0.288925,0.032209,0.000525,3.25,1.0,False,-1.0
2025-03-01,2025-03,I2,Juve Stabia,Cittadella,draw,away,"I2|draw|[2.8,3.5)",0.323307,0.294523,0.028784,-0.007324,3.2,1.0,False,-1.0
2025-03-15,2025-03,I2,Juve Stabia,Modena,draw,home,"I2|draw|[2.8,3.5)",0.386739,0.327654,0.059085,0.076092,2.88,1.0,False,-1.0
2025-03-16,2025-03,I2,Reggiana,Sampdoria,draw,draw,"I2|draw|[2.8,3.5)",0.403984,0.336658,0.067325,0.094486,2.8,1.0,True,1.8
2025-05-09,2025-05,I2,Mantova,Carrarese,draw,home,"I2|draw|[2.8,3.5)",0.341089,0.314693,0.026396,-0.016489,3.0,1.0,False,-1.0
2025-11-28,2025-11,I2,Cesena,Modena,draw,home,"I2|draw|[2.8,3.5)",0.362519,0.330083,0.032436,-0.018538,2.82,1.0,False,-1.0
