league,bets,winning_bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,candidate_count,decision
E1,1,1,0.91,91.0,0.0,1,1,0,84,TOO_FEW_BETS
F2,2,1,0.8,40.0,1.0,2,1,1,12,TOO_FEW_BETS
F1,4,3,1.51,37.75,1.0,4,3,1,16,TOO_FEW_BETS
I2,21,9,5.63,26.81,3.0,12,5,7,45,REJECT_MONTH_BALANCE
SP2,20,9,1.76,8.8,5.29,12,7,5,167,REJECT_DRAWDOWN
SP1,3,1,0.25,8.33,2.0,3,1,2,60,TOO_FEW_BETS
I1,7,4,0.39,5.57,3.0,6,3,3,45,TOO_FEW_BETS
B1,0,0,0.0,0.0,0.0,0,0,0,4,TOO_FEW_BETS
D1,0,0,0.0,0.0,0.0,0,0,0,6,TOO_FEW_BETS
D2,0,0,0.0,0.0,0.0,0,0,0,4,TOO_FEW_BETS
G1,0,0,0.0,0.0,0.0,0,0,0,7,TOO_FEW_BETS
N1,0,0,0.0,0.0,0.0,0,0,0,6,TOO_FEW_BETS
P1,0,0,0.0,0.0,0.0,0,0,0,4,TOO_FEW_BETS
SC0,0,0,0.0,0.0,0.0,0,0,0,1,TOO_FEW_BETS
T1,0,0,0.0,0.0,0.0,0,0,0,10,TOO_FEW_BETS
E2,12,5,-0.07,-0.58,3.0,7,3,4,47,TOO_FEW_BETS
E3,6,2,-1.18,-19.67,4.0,6,2,4,62,TOO_FEW_BETS
E0,4,1,-2.05,-51.25,2.05,2,0,2,21,TOO_FEW_BETS
