date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit,rule_label,league_prior_matches,league_draw_rate,form_points_diff,form_goal_diff_delta,season_points_per_match_delta,season_goal_diff_per_match_delta,rest_days_delta,lambda_total,lambda_diff,bet_date,season,log_odds,is_draw,is_home,league_prior_matches_scaled,abs_form_points_diff,abs_form_goal_diff_delta,abs_season_points_per_match_delta,abs_season_goal_diff_per_match_delta,predicted_probability,predicted_ev
2017-03-04,2017-03,USA,Real Salt Lake,Toronto FC,home,draw,2.71,"[2.2,2.8)",0.3599418387718441,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|USA,1728,0.256366,-1.6,-2.2,0.313748,0.336629,0.0,2.375411,0.103285,2017-03-04,2017,0.9969486348916096,0.0,1.0,1.728,1.6,2.2,0.313748,0.336629,0.3907340366443508,0.05888923930619061
2017-03-05,2017-03,USA,Houston Dynamo,Seattle Sounders,home,home,2.48,"[2.2,2.8)",0.3938077131993482,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.48,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|USA,1733,0.25678,-1.6,-1.6,-0.306921,-0.363391,0.0,2.358143,0.034858,2017-03-05,2017,0.9082585601768908,0.0,1.0,1.733,1.6,1.6,0.306921,0.363391,0.4257506048592577,0.05586150005095902
2017-03-06,2017-03,USA,Atlanta Utd,New York Red Bulls,home,away,2.5,"[2.2,2.8)",0.39024390243902446,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|USA,1737,0.256765,-0.8,-0.4,-0.632432,-0.367568,-14.0,2.370553,0.064421,2017-03-06,2017,0.9162907318741551,0.0,1.0,1.737,0.8,0.4,0.632432,0.367568,0.42285857645839575,0.057146441145989435
2017-03-11,2017-03,USA,Philadelphia Union,Toronto FC,home,draw,2.96,"[2.8,3.5)",0.3293542383526701,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|USA,1739,0.257044,-1.4,-2.4,0.011889,0.033839,-2.0,2.362737,0.001895,2017-03-11,2017,1.085189268335969,0.0,1.0,1.739,1.4,2.4,0.011889,0.033839,0.361195617682292,0.0691390283395843
2017-03-12,2017-03,USA,CF Montreal,Seattle Sounders,home,draw,2.31,"[2.2,2.8)",0.4228175782158266,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|USA,1742,0.257176,0.4,0.2,-0.302414,-0.36306,0.0,2.376163,0.109304,2017-03-12,2017,0.8372475245337022,0.0,1.0,1.742,0.4,0.2,0.302414,0.36306,0.45475853052471316,0.05049220551208733
2017-03-18,2017-03,USA,Vancouver Whitecaps,Toronto FC,home,away,2.52,"[2.2,2.8)",0.3870810332733538,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|USA,1749,0.25729,-0.2,0.2,0.162043,0.201213,-1.0,2.374503,0.096022,2017-03-18,2017,0.9242589015233319,0.0,1.0,1.749,0.2,0.2,0.162043,0.201213,0.4185443600883025,0.05473178742252216
2017-03-19,2017-03,USA,Seattle Sounders,New York Red Bulls,home,home,2.09,"[1.8,2.2)",0.46647366748499247,"[0.42,0.55)",market_favorite,PS_CLOSE,True,1.0899999999999999,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|USA,1754,0.257127,-0.2,-0.2,-0.053309,-0.134748,-1.0,2.391844,0.234752,2017-03-19,2017,0.7371640659767196,0.0,1.0,1.754,0.2,0.2,0.053309,0.134748,0.4985047918809494,0.04187501503118418
2017-04-01,2017-04,NOR,Kristiansund,Molde,home,away,3.89,"[3.5,4.0)",0.25063863645881324,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|NOR,1210,0.242149,-0.4,-0.6,-0.826667,-0.693333,-14.0,2.3605,0.016003,2017-04-01,2017,1.358409157630355,0.0,1.0,1.21,0.4,0.6,0.826667,0.693333,0.27599938187492606,0.0736375954934625
2017-04-02,2017-04,NOR,Stabaek,Aalesund,home,home,2.83,"[2.8,3.5)",0.34458121518811446,"[0.34,0.42)",market_non_favorite,PS_CLOSE,True,1.83,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|NOR,1211,0.241949,-1.4,-1.0,-0.189945,-0.325246,0.0,2.38842,0.207358,2017-04-02,2017,1.0402767116551463,0.0,1.0,1.211,1.4,1.0,0.189945,0.325246,0.3714537381068476,0.05121407884237872
2017-04-03,2017-04,NOR,Valerenga,Viking,home,home,1.87,"[1.8,2.2)",0.5214139116243416,"[0.42,0.55)",market_favorite,PS_CLOSE,True,0.8700000000000001,PS_CLOSE_rulesusa_nor_bra_train30_n360_ev0p02_top1_ridge10_cap0.03_val6_tail30_odds1.8_4|NOR,1217,0.241578,0.2,0.4,-0.14,-0.1,0.0,2.404663,0.337302,2017-04-03,2017,0.6259384308664954,0.0,1.0,1.217,0.2,0.4,0.14,0.1,0.548973348651694,0.02658016197866786
