date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2025-09-01,0,0.0,0.0,1000.0,0.0,NORMAL,1.0,100.0,,
2025-09-05,1,10.0,12.5,1012.5,0.0,NORMAL,1.0,100.0,,
2025-09-06,4,40.0,6.8,1019.3,0.0,NORMAL,1.0,100.0,,
2025-09-07,0,0.0,0.0,1019.3,0.0,NORMAL,1.0,100.0,,
2025-09-08,0,0.0,0.0,1019.3,0.0,NORMAL,1.0,100.0,,
2025-09-12,0,0.0,0.0,1019.3,0.0,NORMAL,1.0,100.0,,
2025-09-13,3,30.0,14.5,1033.8,0.0,NORMAL,1.0,100.0,,
2025-09-14,1,10.0,-10.0,1023.8,10.0,NORMAL,1.0,100.0,,
2025-09-15,1,10.0,12.3,1036.1,0.0,NORMAL,1.0,100.0,,
2025-09-16,0,0.0,0.0,1036.1,0.0,NORMAL,1.0,100.0,,
2025-09-17,0,0.0,0.0,1036.1,0.0,NORMAL,1.0,100.0,,
2025-09-19,1,10.0,12.5,1048.6,0.0,NORMAL,1.0,100.0,,
2025-09-20,2,20.0,-20.0,1028.6,20.0,NORMAL,1.0,100.0,,
2025-09-21,5,50.0,-4.2,1024.4,24.2,NORMAL,1.0,100.0,,
2025-09-22,0,0.0,0.0,1024.4,24.2,NORMAL,1.0,100.0,,
2025-09-23,1,10.0,13.0,1037.4,11.2,NORMAL,1.0,100.0,,
2025-09-24,0,0.0,0.0,1037.4,11.2,NORMAL,1.0,100.0,,
2025-09-25,0,0.0,0.0,1037.4,11.2,NORMAL,1.0,100.0,,
2025-09-26,0,0.0,0.0,1037.4,11.2,NORMAL,1.0,100.0,,
2025-09-27,4,40.0,4.5,1041.9,6.7,NORMAL,1.0,100.0,,
2025-09-28,2,20.0,-20.0,1021.9,26.7,NORMAL,1.0,100.0,,
2025-09-29,0,0.0,0.0,1021.9,26.7,NORMAL,1.0,100.0,,
2025-09-30,3,30.0,-30.0,991.9,56.7,NORMAL,1.0,100.0,,
2025-10-01,0,0.0,0.0,991.9,56.7,NORMAL,1.0,100.0,,
