date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2024-03-01,5,50.0,-26.5,973.5,26.5,NORMAL,1.0,100.0,0.0,0.0
2024-03-02,10,100.0,23.3,996.8,3.2,NORMAL,1.0,100.0,0.0265,0.0265
2024-03-03,7,70.0,-15.5,981.3,18.7,NORMAL,1.0,100.0,0.0032,0.0265
2024-03-04,0,0.0,0.0,981.3,18.7,NORMAL,1.0,100.0,0.0187,0.0265
2024-03-05,0,0.0,0.0,981.3,18.7,NORMAL,1.0,100.0,0.0187,0.0265
2024-03-06,0,0.0,0.0,981.3,18.7,NORMAL,1.0,100.0,0.0187,0.0265
2024-03-08,5,50.0,3.4,984.7,15.3,NORMAL,1.0,100.0,0.0187,0.0265
2024-03-09,10,100.0,4.6,989.3,10.7,NORMAL,1.0,100.0,0.0153,0.0265
2024-03-10,9,90.0,63.3,1052.6,0.0,NORMAL,1.0,100.0,0.0107,0.0265
2024-03-11,1,10.0,-10.0,1042.6,10.0,NORMAL,1.0,100.0,0.0,0.0252
2024-03-12,1,10.0,-10.0,1032.6,20.0,NORMAL,1.0,100.0,0.0095,0.0252
2024-03-13,2,15.0,-0.75,1031.85,20.75,CAUTION,0.75,75.0,0.019,0.0252
2024-03-14,0,0.0,0.0,1031.85,20.75,CAUTION,0.75,75.0,0.0197,0.0252
2024-03-15,6,45.0,-2.55,1029.3,23.3,CAUTION,0.75,75.0,0.0197,0.0252
2024-03-16,10,50.0,-6.3,1023.0,29.6,DEFENSIVE,0.5,50.0,0.0221,0.0252
2024-03-17,10,50.0,18.5,1041.5,11.1,DEFENSIVE,0.5,50.0,0.0281,0.0281
2024-03-18,0,0.0,0.0,1041.5,11.1,NORMAL,1.0,100.0,0.0105,0.0281
2024-03-19,0,0.0,0.0,1041.5,11.1,NORMAL,1.0,100.0,0.0105,0.0281
2024-03-23,5,50.0,-4.6,1036.9,15.7,NORMAL,1.0,100.0,0.0105,0.0281
2024-03-24,2,20.0,1.2,1038.1,14.5,NORMAL,1.0,100.0,0.0149,0.0281
2024-03-25,0,0.0,0.0,1038.1,14.5,NORMAL,1.0,100.0,0.0138,0.0281
2024-03-29,5,50.0,49.2,1087.3,0.0,NORMAL,1.0,100.0,0.0138,0.0281
2024-03-30,6,60.0,-24.4,1062.9,24.4,NORMAL,1.0,100.0,0.0,0.0272
2024-03-31,8,80.0,34.2,1097.1,0.0,NORMAL,1.0,100.0,0.0224,0.0272
2024-04-01,8,80.0,-24.8,1072.3,24.8,NORMAL,1.0,100.0,0.0,0.027
2024-04-02,3,30.0,-9.6,1062.7,34.4,NORMAL,1.0,100.0,0.0226,0.027
2024-04-03,1,7.5,2.33,1065.03,32.07,CAUTION,0.75,75.0,0.0314,0.0314
2024-04-04,2,20.0,0.8,1065.83,31.27,NORMAL,1.0,100.0,0.0292,0.0314
2024-04-05,4,40.0,4.1,1069.93,27.17,NORMAL,1.0,100.0,0.0285,0.0314
2024-04-06,7,70.0,28.4,1098.33,0.0,NORMAL,1.0,100.0,0.0248,0.0314
2024-04-07,9,90.0,10.2,1108.53,0.0,NORMAL,1.0,100.0,0.0,0.0313
2024-04-08,0,0.0,0.0,1108.53,0.0,NORMAL,1.0,100.0,0.0,0.031
2024-04-09,3,30.0,-5.8,1102.73,5.8,NORMAL,1.0,100.0,0.0,0.031
2024-04-10,1,10.0,5.0,1107.73,0.8,NORMAL,1.0,100.0,0.0052,0.031
2024-04-12,3,30.0,-16.0,1091.73,16.8,NORMAL,1.0,100.0,0.0007,0.031
2024-04-13,10,100.0,-62.5,1029.23,79.3,NORMAL,1.0,100.0,0.0152,0.031
2024-04-14,8,60.0,14.7,1043.93,64.6,CAUTION,0.75,75.0,0.0715,0.0715
2024-04-15,1,5.0,-5.0,1038.93,69.6,RECOVERY,0.5,50.0,0.0583,0.0715
2024-04-16,3,15.0,-0.15,1038.78,69.75,RECOVERY,0.5,50.0,0.0628,0.0715
2024-04-17,0,0.0,0.0,1038.78,69.75,CAUTION,0.75,75.0,0.0629,0.0715
2024-04-19,2,15.0,16.43,1055.21,53.32,CAUTION,0.75,75.0,0.0629,0.0715
2024-04-20,7,70.0,4.0,1059.21,49.32,NORMAL,1.0,100.0,0.0481,0.0715
