month,date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit
2024-08,2024-08-16,F2,Amiens,Red Star,draw,home,0.397816,0.015764,0.146156,3.0,1.0,False,-1.0
2024-08,2024-08-17,T1,Kayserispor,Sivasspor,draw,away,0.409255,0.016469,0.256915,3.2,1.0,False,-1.0
2024-08,2024-08-18,G1,Levadeiakos,Athens Kallithea,draw,draw,0.427873,0.020032,0.174583,2.88,1.0,True,1.88
2024-08,2024-08-24,SP1,Getafe,Vallecano,draw,draw,0.376792,0.015444,0.084044,3.0,1.0,True,2.0
2024-08,2024-08-31,E3,Port Vale,Doncaster,draw,away,0.344951,0.0132,0.028429,3.1,1.0,False,-1.0
2024-09,2024-09-01,SP2,Mirandes,Zaragoza,draw,draw,0.374212,0.014706,0.078517,3.0,1.0,True,2.0
2024-09,2024-09-01,SP1,Getafe,Sociedad,draw,draw,0.370749,0.015567,0.030027,2.9,1.0,True,1.9
2024-09,2024-09-22,SP1,Getafe,Leganes,draw,draw,0.378382,0.015567,0.015882,2.8,1.0,True,1.8
2024-09,2024-09-28,SP1,Getafe,Alaves,draw,home,0.380519,0.015567,0.051062,2.88,1.0,False,-1.0
2024-09,2024-09-29,SP2,Oviedo,Eibar,draw,home,0.36848,0.014706,0.025945,2.9,1.0,False,-1.0
2024-10,2024-10-05,SP1,Getafe,Osasuna,draw,draw,0.367421,0.015344,0.021023,2.9,1.0,True,1.9
2024-10,2024-10-25,T1,Ad. Demirspor,Sivasspor,draw,away,0.34734,0.016068,0.126326,3.4,1.0,False,-1.0
2024-12,2024-12-03,E2,Stevenage,Northampton,draw,home,0.317607,0.013584,0.033677,3.4,1.0,False,-1.0
2024-12,2024-12-07,SP1,Valencia,Vallecano,draw,away,0.373949,0.016097,0.037773,2.9,1.0,False,-1.0
2024-12,2024-12-07,E3,Port Vale,Walsall,draw,away,0.323238,0.013548,0.021976,3.3,1.0,False,-1.0
2024-12,2024-12-11,E1,Cardiff,Preston,draw,away,0.347283,0.013423,0.06835,3.2,1.0,False,-1.0
2024-12,2024-12-15,I1,Lecce,Monza,draw,home,0.355018,0.016234,0.016352,3.0,1.0,False,-1.0
2024-12,2024-12-21,I1,Torino,Bologna,draw,away,0.366531,0.016234,0.015859,2.9,1.0,False,-1.0
2024-12,2024-12-29,E3,Tranmere,Barrow,draw,draw,0.320255,0.013548,0.042805,3.4,1.0,True,2.4
2025-03,2025-03-01,P1,Nacional,Famalicao,draw,home,0.363247,0.016839,0.039222,3.0,1.0,False,-1.0
2025-03,2025-03-01,E2,Exeter,Northampton,draw,draw,0.316133,0.012534,0.032237,3.4,1.0,True,2.4
2025-03,2025-03-01,SP2,Zaragoza,Sp Gijon,draw,draw,0.364133,0.013689,0.016289,2.9,1.0,True,1.9
2025-03,2025-03-02,SP2,Albacete,Cadiz,draw,home,0.371014,0.013689,0.036243,2.9,1.0,False,-1.0
2025-03,2025-03-15,I2,Juve Stabia,Modena,draw,home,0.36584,0.014841,0.010879,2.88,1.0,False,-1.0
2025-03,2025-03-16,SP1,Osasuna,Getafe,draw,away,0.419029,0.015158,0.163147,2.88,1.0,False,-1.0
2025-03,2025-03-16,I2,Reggiana,Sampdoria,draw,draw,0.383966,0.014841,0.03355,2.8,1.0,True,1.8
