month,date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit
2024-10,2024-10-04,SP1,Leganes,Valencia,draw,draw,0.392475,0.017278,0.08057,2.88,1.0,True,1.88
2024-10,2024-10-04,SP2,Huesca,Cadiz,draw,home,0.397815,0.015961,0.069192,2.8,1.0,False,-1.0
2024-10,2024-10-12,SP2,Cartagena,Ferrol,draw,away,0.395962,0.015961,0.094402,2.88,1.0,False,-1.0
2024-10,2024-10-13,SP2,Elche,La Coruna,draw,draw,0.397378,0.015961,0.067968,2.8,1.0,True,1.8
2024-10,2024-10-19,SP2,Mirandes,Eibar,draw,home,0.394357,0.015961,0.089779,2.88,1.0,False,-1.0
2024-10,2024-10-20,SP2,Ferrol,Huesca,draw,draw,0.396495,0.015961,0.065496,2.8,1.0,True,1.8
2024-10,2024-10-27,I2,Catanzaro,Sudtirol,draw,home,0.392524,0.017488,0.068852,2.85,1.0,False,-1.0
2024-10,2024-10-29,I2,Modena,Cremonese,draw,draw,0.397725,0.017488,0.064663,2.8,1.0,True,1.8
2024-11,2024-11-03,T1,Bodrumspor,Alanyaspor,draw,draw,0.402952,0.017103,0.080376,2.8,1.0,True,1.8
2024-11,2024-11-08,F2,Ajaccio,Clermont,draw,home,0.379508,0.016977,0.044088,2.88,1.0,False,-1.0
2024-11,2024-11-17,SP2,Cartagena,Huesca,draw,home,0.383617,0.015214,0.061003,2.88,1.0,False,-1.0
2024-12,2024-12-07,SP2,Huesca,Eibar,draw,home,0.439965,0.014647,0.148359,2.7,1.0,False,-1.0
2024-12,2024-12-21,SP1,Getafe,Mallorca,draw,away,0.417314,0.016256,0.102909,2.75,1.0,False,-1.0
2025-01,2025-01-11,SP2,Huesca,Mirandes,draw,home,0.392338,0.014146,0.058937,2.8,1.0,False,-1.0
2025-02,2025-02-22,E1,Derby,Millwall,draw,away,0.383323,0.012395,0.07569,2.9,1.0,False,-1.0
2025-03,2025-03-09,I2,Cittadella,Sudtirol,draw,away,0.394879,0.014855,0.045067,2.75,1.0,False,-1.0
2025-03,2025-03-15,I2,Juve Stabia,Modena,draw,home,0.389061,0.014855,0.077716,2.88,1.0,False,-1.0
2025-03,2025-03-15,I2,Frosinone,Brescia,draw,home,0.421071,0.014855,0.06835,2.63,1.0,False,-1.0
2025-03,2025-03-16,I2,Reggiana,Sampdoria,draw,draw,0.393902,0.014855,0.061333,2.8,1.0,True,1.8
2025-05,2025-05-03,SP2,Huesca,Oviedo,draw,away,0.391167,0.01381,0.0566,2.8,1.0,False,-1.0
