month,date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,model_probability,model_lower_ev,model_ev,stake,won,profit
2024-08,2024-08-16,SP2,Mirandes,Cordoba,draw,home,0.353768,0.012791,0.022928,3.0,0.469285,0.369481,0.407855,1.0,False,-1.0
2024-08,2024-08-17,T1,Kayserispor,Sivasspor,draw,away,0.328672,0.01453,0.005256,3.2,0.389247,0.199094,0.245589,1.0,False,-1.0
2024-08,2024-08-18,I2,Reggiana,Mantova,draw,draw,0.344012,0.014023,0.022965,3.1,0.435081,0.30528,0.348751,1.0,True,2.1
2024-09,2024-09-01,SP1,Getafe,Sociedad,draw,draw,0.363011,0.013736,0.012899,2.9,0.422938,0.186686,0.22652,1.0,True,1.9
2024-09,2024-09-17,SP1,Mallorca,Sociedad,draw,home,0.381201,0.013736,0.010531,2.75,0.43466,0.157542,0.195315,1.0,False,-1.0
2024-09,2024-09-28,SP2,Mirandes,Huesca,draw,home,0.385618,0.012976,0.006133,2.7,0.458212,0.202139,0.237173,1.0,False,-1.0
2024-09,2024-09-28,SP1,Getafe,Alaves,draw,home,0.358789,0.013736,-0.006246,2.88,0.413519,0.151377,0.190936,1.0,False,-1.0
2024-10,2024-10-04,SP2,Huesca,Cadiz,draw,home,0.373985,0.012908,0.011016,2.8,0.429966,0.167761,0.203904,1.0,False,-1.0
2024-10,2024-10-05,SP1,Getafe,Osasuna,draw,draw,0.359372,0.013539,0.002917,2.9,0.436132,0.22552,0.264783,1.0,True,1.9
2024-10,2024-10-19,I2,Sudtirol,Pisa,draw,away,0.391756,0.014151,-0.006898,2.63,0.443244,0.128513,0.165731,1.0,False,-1.0
2024-10,2024-10-20,SP2,Ferrol,Huesca,draw,draw,0.368599,0.012908,-0.004066,2.8,0.430455,0.169131,0.205274,1.0,True,1.8
2024-10,2024-10-25,T1,Ad. Demirspor,Sivasspor,draw,away,0.315627,0.014178,0.024927,3.4,0.412377,0.353877,0.402082,1.0,False,-1.0
2025-01,2025-01-12,SP2,Cadiz,Levante,draw,draw,0.339787,0.012477,0.014659,3.1,0.39798,0.195059,0.233738,1.0,True,2.1
2025-02,2025-02-01,E2,Wigan,Lincoln,draw,draw,0.348629,0.011067,0.012683,3.0,0.390389,0.137966,0.171168,1.0,True,2.0
2025-02,2025-02-22,E1,Derby,Millwall,draw,away,0.361719,0.010931,0.017283,2.9,0.407139,0.149003,0.180704,1.0,False,-1.0
