month,date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit
2024-11,2024-11-02,SP2,Zaragoza,Granada,draw,home,0.382072,0.017898,0.001477,2.75,1.0,False,-1.0
2024-11,2024-11-03,T1,Bodrumspor,Alanyaspor,draw,draw,0.402952,0.020121,0.071925,2.8,1.0,True,1.8
2024-11,2024-11-08,F2,Ajaccio,Clermont,draw,home,0.379508,0.019973,0.035459,2.88,1.0,False,-1.0
2024-11,2024-11-09,SP2,Mirandes,Cadiz,draw,draw,0.470796,0.017898,0.154888,2.55,1.29,True,2.01
2024-11,2024-11-09,SP2,Huesca,Zaragoza,draw,draw,0.407047,0.017898,0.050702,2.7,1.0,True,1.7
2024-11,2024-11-17,SP2,Cartagena,Huesca,draw,home,0.383617,0.017898,0.053271,2.88,1.0,False,-1.0
2024-11,2024-11-23,E1,Oxford,Middlesbrough,away,away,0.642565,0.016231,0.002134,1.6,1.0,True,0.6
2024-11,2024-11-26,E2,Exeter,Birmingham,away,away,0.63866,0.016104,0.008541,1.62,1.0,True,0.62
2024-12,2024-12-06,I2,Juve Stabia,Sudtirol,draw,home,0.383777,0.01907,0.050356,2.88,1.0,False,-1.0
2024-12,2024-12-07,SP2,Huesca,Eibar,draw,home,0.439965,0.017231,0.14138,2.7,1.11,False,-1.11
2024-12,2024-12-08,I1,Verona,Empoli,draw,away,0.433571,0.019292,0.13927,2.75,1.1,False,-1.1
2024-12,2024-12-13,I1,Empoli,Torino,draw,away,0.413638,0.019292,0.135718,2.88,1.02,False,-1.02
2024-12,2024-12-14,I2,Reggiana,Modena,draw,away,0.414533,0.01907,0.107296,2.8,1.0,False,-1.0
2024-12,2024-12-21,SP1,Getafe,Mallorca,draw,away,0.417314,0.019125,0.095021,2.75,1.0,False,-1.0
2025-01,2025-01-11,SP2,Huesca,Mirandes,draw,home,0.392338,0.016643,0.051947,2.8,1.0,False,-1.0
2025-01,2025-01-12,I2,Reggiana,Bari,draw,draw,0.402194,0.018181,0.075235,2.8,1.0,True,1.8
2025-01,2025-01-28,E3,Crewe,AFC Wimbledon,draw,draw,0.399705,0.015296,0.076344,2.8,1.0,True,1.8
