test_month,date,league,match,outcome,probability,conservative_probability,odds,raw_odds,execution_cost_rate,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2025-04,2025-04-06,F1,Lens v St Etienne,home,0.6207645232324124,0.6145232600702555,1.6467999999999998,1.66,0.0,0.011996904683696519,1XB,"['B365', 'BF', 'BFE', 'PS']",0.0012412631621569214,0.46,home,0.3,True,data\historical_csv\football-data\2425\F1.csv,249
2025-05,2025-05-01,I2,Pisa v Frosinone,away,0.21872788192431192,0.20801401606843406,4.9298,5.01,0.0,0.025467496414166346,PS,"['1XB', 'B365', 'BF', 'BFE']",0.005713865855877859,0.16,home,-0.16,False,data\historical_csv\football-data\2425\I2.csv,347
2025-05,2025-05-04,I2,Frosinone v Cittadella,draw,0.34047861865255624,0.32858385827179987,3.0873999999999997,3.13,0.0,0.014469804028354849,1XB,"['B365', 'BF', 'BFE', 'PS']",0.006894760380756344,0.17,draw,0.35,True,data\historical_csv\football-data\2425\I2.csv,357
2025-05,2025-05-09,I2,Pisa v Sudtirol,away,0.24671333727676892,0.23183915670135874,5.60992,5.8,0.02,0.30059912196208627,BFE,"['1XB', 'B365', 'BF', 'PS']",0.00987418057541018,1.63,draw,-1.63,False,data\historical_csv\football-data\2425\I2.csv,368
2025-05,2025-05-09,I2,Juve Stabia v Reggiana,away,0.25915176288254793,0.24820144955097484,4.5534799999999995,4.7,0.02,0.13018033650137273,BFE,"['1XB', 'B365', 'BF', 'PS']",0.0059503133315730984,0.92,away,3.27,True,data\historical_csv\football-data\2425\I2.csv,364
2025-05,2025-05-09,B1,Charleroi v Westerlo,home,0.5699947746942149,0.559688733272644,1.8931719999999999,1.93,0.02,0.0595870385472379,BFE,"['1XB', 'B365', 'BF', 'PS']",0.005306041421570892,1.67,home,1.49,True,data\historical_csv\football-data\2425\B1.csv,294
2025-05,2025-05-09,D2,Preußen Münster v Hertha,away,0.35632034242448357,0.34526396391804326,2.96882,3.05,0.02,0.025026561359165145,BFE,"['1XB', 'B365', 'BF', 'PS']",0.006056378506440304,0.32,home,-0.32,False,data\historical_csv\football-data\2425\D2.csv,291
2025-05,2025-05-09,N1,Willem II v Heracles,draw,0.2864974774610112,0.2784462864054873,3.6411,3.75,0.02,0.013850773431019814,BFE,"['1XB', 'B365', 'BF', 'PS']",0.003051191055523887,0.13,away,-0.13,False,data\historical_csv\football-data\2425\N1.csv,281
2025-05,2025-05-11,I1,Verona v Lecce,home,0.4291802519971979,0.4166974085795396,2.459808,2.52,0.02,0.024995619203220132,BFE,"['1XB', 'B365', 'BF', 'PS']",0.007482843417658333,0.43,draw,-0.43,False,data\historical_csv\football-data\2425\I1.csv,357
2025-05,2025-05-17,SP2,La Coruna v Granada,home,0.3212027297247571,0.3156643567126393,3.254,3.3,0.0,0.027171816742928234,BF,"['1XB', 'B365', 'BFE', 'PS']",0.0005383730121177847,0.3,away,-0.3,False,data\historical_csv\football-data\2425\SP2.csv,433
