test_month,date,league,match,outcome,probability,conservative_probability,odds,raw_odds,execution_cost_rate,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,stake,actual_outcome,profit,won,source_file,source_row
2025-01,2025-01-04,P1,Moreirense v AVS,away,0.20660968882100203,0.19772239662935095,5.2042,5.4,0.025,0.02898689653846831,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.003887292191651072,0.20693418550411866,4.832454326306065,7.692688820053428,True,0.17,draw,-0.17,False,data\historical_csv\football-data\2425\P1.csv,147
2025-01,2025-01-04,P1,Benfica v Sp Braga,draw,0.20150286451562266,0.18731188497436113,5.3953,5.6,0.025,0.010603813002170615,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.009190979541261525,0.16889368954322778,5.920884330874028,-8.876787680742314,False,0.06,away,-0.06,False,data\historical_csv\football-data\2425\P1.csv,148
2025-01,2025-01-19,SP2,Castellon v Cordoba,away,0.2420263991330209,0.23051349299864288,4.4398,4.6,0.025,0.02343380621537472,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.006512906134378034,0.23722451527372412,4.2154159271698335,5.32294029122804,True,0.17,away,0.58,True,data\historical_csv\football-data\2425\SP2.csv,250
2025-02,2025-02-01,B1,Cercle Brugge v Standard,away,0.21167049283329759,0.20268833772341652,5.2042,5.4,0.025,0.05483064718020425,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.003982155109881052,0.2001587048938833,4.9960355235619796,4.1665932008747575,True,0.33,draw,-0.33,False,data\historical_csv\football-data\2425\B1.csv,188
2025-02,2025-02-01,P1,Santa Clara v Casa Pia,away,0.24656547367959247,0.2392690597690615,4.34425,4.5,0.025,0.03944461290174539,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.0022964139105309677,0.2342654956429889,4.268661064470029,1.770787944705443,True,0.29,home,-0.29,False,data\historical_csv\football-data\2425\P1.csv,175
2025-02,2025-02-02,T1,Goztep v Alanyaspor,away,0.20988123312460383,0.20290457121425137,5.10865,5.3,0.025,0.03656843773368523,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.001976661910352455,0.16257458072976955,6.151023090517414,-16.946336815486283,False,0.22,away,0.9,True,data\historical_csv\football-data\2425\T1.csv,197
2025-02,2025-02-15,SC0,Kilmarnock v St Johnstone,away,0.2221987167054241,0.21483646797251285,4.7828,4.86,0.0,0.0275198590189345,PS,"['1XB', 'B365', 'BF', 'BFE', 'WH']",0.0023622487329112477,0.21021944873216616,4.756933794808242,0.5437579396204262,True,0.18,home,-0.18,False,data\historical_csv\football-data\2425\SC0.csv,154
2025-02,2025-02-17,E1,Leeds v Sunderland,draw,0.23127079504758852,0.22385964883067855,4.6309000000000005,4.8,0.025,0.036671647769989324,BFE,"['1XB', 'B365', 'BF', 'PS']",0.0024111462169099694,0.23517302207554197,4.2521884150418465,8.906274792962732,True,0.25,home,-0.25,False,data\historical_csv\football-data\2425\E1.csv,393
2025-02,2025-02-21,B1,Mechelen v St Truiden,home,0.5306238634425482,0.5230558996392607,1.98,2.0,0.0,0.03565068128573623,WH,"['1XB', 'B365', 'BF', 'BFE', 'PS']",0.002567963803287489,0.5191883950782351,1.9260831125651656,2.799302225490541,True,0.91,draw,-0.91,False,data\historical_csv\football-data\2425\B1.csv,210
2025-02,2025-02-24,P1,Porto v Guimaraes,draw,0.25531077881714165,0.246296068445147,4.2487,4.4,0.025,0.04643810600289622,BFE,"['1XB', 'B365', 'BF', 'PS', 'WH']",0.004014710371994622,0.2710770271856528,3.6889883675577164,15.172496540368318,True,0.36,draw,1.17,True,data\historical_csv\football-data\2425\P1.csv,208
2025-02,2025-02-24,T1,Galatasaray v Fenerbahce,draw,0.2641080870802544,0.25349655387165815,4.0576,4.12,0.0,0.028587616989639963,1XB,"['B365', 'BF', 'BFE', 'PS', 'WH']",0.00561153320859628,0.27427523864862136,3.6459725818746507,11.289920834064592,True,0.23,draw,0.7,True,data\historical_csv\football-data\2425\T1.csv,226
2025-03,2025-03-08,E2,Stevenage v Mansfield,away,0.2418305237738741,0.2309819074612719,4.4398,4.6,0.025,0.02551347274655491,BFE,"['1XB', 'B365', 'BF', 'PS', 'WH']",0.005848616312602193,0.25823449411782784,3.8724493542823044,14.650950698433206,True,0.19,draw,-0.19,False,data\historical_csv\football-data\2425\E2.csv,422
2025-03,2025-03-08,P1,Estoril v Farense,away,0.26046511627906976,0.24682981772470142,4.153149999999999,4.3,0.025,0.025121257483343484,BFE,"['1XB', 'B365', 'BF', 'PS', 'WH']",0.008635298554368351,0.30463036869463,3.282666807925601,26.51756157441023,True,0.2,draw,-0.2,False,data\historical_csv\football-data\2425\P1.csv,220
2025-03,2025-03-09,T1,Alanyaspor v Galatasaray,draw,0.22996493482764602,0.21989223955077064,4.822,5.0,0.025,0.06032037911381605,BFE,"['1XB', 'B365', 'BF', 'PS', 'WH']",0.005072695276875378,0.2189263566889847,4.567746045400275,5.566289195428409,True,0.39,away,-0.39,False,data\historical_csv\football-data\2425\T1.csv,243
2025-03,2025-03-21,SP2,Burgos v Almeria,away,0.41623076266042397,0.4100803384256547,2.4699999999999998,2.5,0.0,0.012898435911367079,WH,"['1XB', 'B365', 'BF', 'BFE', 'PS']",0.001150424234769251,0.37886527010668025,2.639460723645695,-6.420278283649983,False,0.22,home,-0.22,False,data\historical_csv\football-data\2425\SP2.csv,343
2025-04,2025-04-06,F1,Lens v St Etienne,home,0.6206788588937535,0.6146990235520163,1.6467999999999998,1.66,0.0,0.012286351985460353,1XB,"['B365', 'BF', 'BFE', 'PS']",0.0009798353417371515,0.6011749503552734,1.6634092944309058,-0.9985091754936004,False,0.47,home,0.3,True,data\historical_csv\football-data\2425\F1.csv,249
2025-10,2025-10-03,F2,Guingamp v Nancy,away,0.3405697924670639,0.33349421099311327,3.4989999999999997,3.55,0.0,0.16689624426490313,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.002075581473950647,0.32081962309303025,3.1170163170163168,12.254786120251282,True,1.67,draw,-1.67,False,data\historical_csv\football-data\2526\F2.csv,77
2025-10,2025-10-04,SP2,La Coruna v Almeria,away,0.2693843199429171,0.2597796960519159,3.94,4.0,0.0,0.023532002444548672,B365,"['BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004604623891001197,0.24395208199585272,4.099165671465761,-3.8828796936340337,False,0.2,draw,-0.2,False,data\historical_csv\football-data\2526\SP2.csv,80
2025-10,2025-10-04,B1,RAAL La Louviere v Waregem,away,0.3271707400962737,0.3166718119861467,3.19765,3.3,0.025,0.01260561959750195,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005498928110127039,0.31853077725595413,3.139414057927765,1.8549939892501754,True,0.14,draw,-0.14,False,data\historical_csv\football-data\2526\B1.csv,76
2025-10,2025-10-04,T1,Galatasaray v Besiktas,draw,0.21612902969342968,0.20969559190716636,4.822,5.0,0.025,0.011152144176356238,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.0014334377862633076,0.2240924032048407,4.462444891922149,8.057356825374185,True,0.07,draw,0.27,True,data\historical_csv\football-data\2526\T1.csv,67
2025-10,2025-10-05,SP2,Santander v Malaga,away,0.24060572805840044,0.2276845039050774,4.5573999999999995,4.63,0.0,0.03764935809699965,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.007921224153323036,0.2345025053686471,4.264346764346764,6.872171796707227,True,0.26,home,-0.26,False,data\historical_csv\football-data\2526\SP2.csv,86
2025-10,2025-10-05,P1,Arouca v Famalicao,home,0.26949784214764416,0.2617423018184841,3.962049999999999,4.1,0.025,0.03703608691992488,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.00275554032916002,0.2300672476760581,4.346555235919679,-8.846206134507417,False,0.31,draw,-0.31,False,data\historical_csv\football-data\2526\P1.csv,70
2025-10,2025-10-05,G1,PAOK v Olympiakos,draw,0.29799432996681363,0.29012851018075886,3.5185999999999997,3.57,0.0,0.020846175922017984,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0028658197860547906,0.29677747468676313,3.3695279638572986,4.4241222432844785,True,0.21,home,-0.21,False,data\historical_csv\football-data\2526\G1.csv,41
