validation_start,validation_end,train_start,train_end,candidate_rule_count,selected_rules,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2019-01,2019-12,2015-01,2018-12,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2019-07,2020-06,2015-07,2019-06,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2020-01,2020-12,2016-01,2019-12,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2020-07,2021-06,2016-07,2020-06,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2021-01,2021-12,2017-01,2020-12,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2021-07,2022-06,2017-07,2021-06,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2022-01,2022-12,2018-01,2021-12,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2022-07,2023-06,2018-07,2022-06,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2023-01,2023-12,2019-01,2022-12,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2023-07,2024-06,2019-07,2023-06,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2024-01,2024-12,2020-01,2023-12,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2024-07,2025-06,2020-07,2024-06,0,[],0,0.0,0.0,0.0,0.0,0,0,False
2025-01,2025-12,2021-01,2024-12,0,[],0,0.0,0.0,0.0,0.0,0,0,False
