validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2017-01,2017-12,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",259,52.73,20.36,37,28,9,2016-11,6.42,58.5627
2017-01,2017-12,"AVG_CLOSE::league|outcome|market_prob_bucket=SWE|away|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=SWE|away|[0.28,0.34)",146,18.51,12.68,30,20,10,2016-10,0.76,32.8049
2017-01,2017-12,"PS_CLOSE::league|outcome|market_prob_bucket=POL|away|[0.20,0.28)",PS_CLOSE,"league|outcome|market_prob_bucket=POL|away|[0.20,0.28)",371,78.03,21.03,43,24,19,2016-12,0.63,31.2427
2017-07,2018-06,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",258,48.84,18.93,39,28,11,2017-06,1.37,53.1195
2017-07,2018-06,"PS_CLOSE::league|outcome|market_prob_bucket=BRA|home|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=BRA|home|[0.42,0.55)",529,62.81,11.87,33,23,10,2017-06,3.06,37.9921
2017-07,2018-06,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)",149,24.99,16.77,32,21,11,2017-05,1.29,36.9395
2018-01,2018-12,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",253,58.19,23.0,39,31,8,2017-12,1.37,69.23
2018-01,2018-12,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)",160,34.05,21.28,33,22,11,2017-12,2.16,43.4941
2018-01,2018-12,"PS_CLOSE::league|outcome|odds_bucket=JPN|away|[1.8,2.2)",PS_CLOSE,"league|outcome|odds_bucket=JPN|away|[1.8,2.2)",139,20.56,14.79,35,24,11,2017-11,1.05,40.9393
2018-07,2019-06,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",105,32.01,30.49,40,30,9,2018-05,1.09,72.7906
2018-07,2019-06,"PS_CLOSE::league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)",134,33.65,25.11,34,24,10,2018-05,1.27,53.3631
2018-07,2019-06,"PS_CLOSE::league|outcome|odds_bucket=DNK|home|[1.0,1.8)",PS_CLOSE,"league|outcome|odds_bucket=DNK|home|[1.0,1.8)",217,24.47,11.28,42,27,15,2018-05,1.25,35.3893
2019-01,2019-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",107,24.98,23.35,39,28,10,2018-12,0.85,59.5793
2019-01,2019-12,"AVG_CLOSE::league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)",AVG_CLOSE,"league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)",133,19.48,14.65,35,23,12,2018-12,0.16,36.7931
2019-01,2019-12,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",199,25.06,12.59,36,23,13,2018-12,2.01,32.7189
