validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2017-01,2017-12,"PS_CLOSE::league|odds_bucket=CHN|[5.0,7.0)",PS_CLOSE,"league|odds_bucket=CHN|[5.0,7.0)",195,39.64,20.33,24,16,8,2016-10,5.38,36.5315
2017-01,2017-12,"PS_CLOSE::league|market_prob_bucket=CHN|[0.28,0.34)",PS_CLOSE,"league|market_prob_bucket=CHN|[0.28,0.34)",401,47.52,11.85,24,16,8,2016-10,3.97,27.9689
2017-01,2017-12,"PS_CLOSE::league|odds_bucket=FIN|[2.8,3.5)",PS_CLOSE,"league|odds_bucket=FIN|[2.8,3.5)",672,28.08,4.18,28,18,10,2016-10,3.89,20.2204
2017-07,2018-06,"PS_CLOSE::league|market_prob_bucket=BRA|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=BRA|[0.42,0.55)",616,60.43,9.81,33,23,10,2017-06,1.06,35.9082
2017-07,2018-06,"PS_CLOSE::league|odds_bucket=USA|[1.8,2.2)",PS_CLOSE,"league|odds_bucket=USA|[1.8,2.2)",561,22.9,4.08,38,26,12,2017-06,1.43,32.1228
2017-07,2018-06,"PS_CLOSE::league|odds_bucket=IRL|[3.5,4.0)",PS_CLOSE,"league|odds_bucket=IRL|[3.5,4.0)",337,49.26,14.62,36,22,14,2017-06,8.81,30.7634
2018-01,2018-12,"PS_CLOSE::league|odds_bucket=BRA|[1.8,2.2)",PS_CLOSE,"league|odds_bucket=BRA|[1.8,2.2)",431,41.21,9.56,33,22,11,2017-12,0.18,31.6571
2018-01,2018-12,"PS_CLOSE::league|odds_bucket=AUT|[4.0,5.0)",PS_CLOSE,"league|odds_bucket=AUT|[4.0,5.0)",276,36.24,13.13,40,23,17,2017-12,2.71,25.2617
2018-01,2018-12,"PS_CLOSE::league|market_prob_bucket=RUS|[0.34,0.42)",PS_CLOSE,"league|market_prob_bucket=RUS|[0.34,0.42)",313,39.07,12.48,34,20,14,2017-12,0.72,24.6073
2018-07,2019-06,"PS_CLOSE::league|odds_bucket=AUT|[4.0,5.0)",PS_CLOSE,"league|odds_bucket=AUT|[4.0,5.0)",273,44.48,16.29,40,24,16,2018-05,7.55,32.456
2018-07,2019-06,"PS_CLOSE::league|market_prob_bucket=RUS|[0.34,0.42)",PS_CLOSE,"league|market_prob_bucket=RUS|[0.34,0.42)",310,32.28,10.41,34,20,14,2018-05,4.87,22.517
2018-07,2019-06,"PS_CLOSE::league|odds_bucket=CHN|[2.8,3.5)",PS_CLOSE,"league|odds_bucket=CHN|[2.8,3.5)",546,29.18,5.34,32,19,12,2018-05,0.0,19.3978
2019-01,2019-12,PS_CLOSE::league|outcome=AUT|home,PS_CLOSE,league|outcome=AUT|home,734,56.92,7.75,41,25,16,2018-12,2.4,25.8323
2019-01,2019-12,"PS_CLOSE::league|market_prob_bucket=RUS|[0.34,0.42)",PS_CLOSE,"league|market_prob_bucket=RUS|[0.34,0.42)",320,34.18,10.68,35,20,15,2018-12,1.73,20.7881
2019-01,2019-12,"PS_CLOSE::league|market_prob_bucket=SWE|[0.55,1.00]",PS_CLOSE,"league|market_prob_bucket=SWE|[0.55,1.00]",394,9.59,2.43,29,19,10,2018-11,0.83,20.4584
2019-07,2020-06,"PS_CLOSE::league|market_prob_bucket=USA|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=USA|[0.42,0.55)",708,48.85,6.9,38,27,11,2019-06,6.2,38.9687
2019-07,2020-06,"PS_CLOSE::league|odds_bucket=JPN|[4.0,5.0)",PS_CLOSE,"league|odds_bucket=JPN|[4.0,5.0)",442,57.76,13.07,41,24,17,2019-06,6.95,27.1986
2019-07,2020-06,"PS_CLOSE::league|odds_bucket=SWZ|[2.8,3.5)",PS_CLOSE,"league|odds_bucket=SWZ|[2.8,3.5)",290,42.09,14.51,42,23,19,2019-06,1.9,22.6589
2020-01,2020-12,"PS_CLOSE::league|market_prob_bucket=SWE|[0.55,1.00]",PS_CLOSE,"league|market_prob_bucket=SWE|[0.55,1.00]",384,32.5,8.46,30,21,9,2019-11,1.48,32.5482
2020-01,2020-12,PS_CLOSE::league|outcome=IRL|home,PS_CLOSE,league|outcome=IRL|home,764,48.84,6.39,38,24,14,2019-11,1.13,26.4566
2020-01,2020-12,"PS_CLOSE::league|market_prob_bucket=ARG|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=ARG|[0.42,0.55)",643,32.08,4.99,38,24,14,2019-12,1.75,25.039
2020-07,2021-06,"PS_CLOSE::league|odds_bucket=USA|[1.8,2.2)",PS_CLOSE,"league|odds_bucket=USA|[1.8,2.2)",452,24.92,5.51,35,25,10,2020-03,1.3,35.5684
2020-07,2021-06,PS_CLOSE::league|outcome=IRL|home,PS_CLOSE,league|outcome=IRL|home,691,46.76,6.77,36,22,14,2020-03,2.37,22.8347
2020-07,2021-06,"PS_CLOSE::league|market_prob_bucket=ARG|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=ARG|[0.42,0.55)",567,16.67,2.94,37,22,15,2020-03,1.47,16.9694
2021-01,2021-12,"PS_CLOSE::league|odds_bucket=RUS|[5.0,7.0)",PS_CLOSE,"league|odds_bucket=RUS|[5.0,7.0)",247,69.65,28.2,37,22,15,2020-12,0.24,42.4804
2021-01,2021-12,"PS_CLOSE::league|market_prob_bucket=JPN|[0.34,0.42)",PS_CLOSE,"league|market_prob_bucket=JPN|[0.34,0.42)",595,35.41,5.95,39,21,18,2020-12,0.64,12.0108
2021-01,2021-12,"AVG_CLOSE::league|odds_bucket=ARG|[1.8,2.2)",AVG_CLOSE,"league|odds_bucket=ARG|[1.8,2.2)",413,22.89,5.54,35,19,16,2020-12,1.12,11.5978
2021-07,2022-06,"PS_CLOSE::league|odds_bucket=AUT|[2.2,2.8)",PS_CLOSE,"league|odds_bucket=AUT|[2.2,2.8)",263,5.57,2.12,39,24,15,2021-05,6.55,20.139
2021-07,2022-06,"PS_CLOSE::league|market_prob_bucket=ROU|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=ROU|[0.42,0.55)",389,9.88,2.54,43,23,20,2021-05,8.13,8.5652
2021-07,2022-06,"PS_CLOSE::league|market_prob_bucket=DNK|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=DNK|[0.42,0.55)",409,13.28,3.25,38,20,18,2021-05,5.49,7.2794
2022-01,2022-12,"PS_CLOSE::league|odds_bucket=RUS|[5.0,7.0)",PS_CLOSE,"league|odds_bucket=RUS|[5.0,7.0)",248,52.32,21.1,38,23,15,2021-12,2.26,37.3077
