validation_start,validation_end,train_start,train_end,candidate_rule_count,selected_rules,max_pairwise_monthly_profit_corr,train_bets,train_profit,train_roi_pct,train_positive_months,train_negative_months,train_window_count,train_active_window_count,train_active_passed_windows,train_active_pass_rate,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,2013-01,2016-12,30,"['PS_CLOSE::league|odds_bucket=CHN|[5.0,7.0)', 'PS_CLOSE::league|market_prob_bucket=CHN|[0.28,0.34)', 'PS_CLOSE::league|odds_bucket=FIN|[2.8,3.5)']",0.2381,1268,115.24,9.09,26,6,6,6,6,1.0,2017-01,2017-12,328,328.0,-4.27,-1.3,35.35,4,5,False
2017-07,2018-06,2013-07,2017-06,36,"['PS_CLOSE::league|market_prob_bucket=BRA|[0.42,0.55)', 'PS_CLOSE::league|odds_bucket=USA|[1.8,2.2)', 'PS_CLOSE::league|odds_bucket=IRL|[3.5,4.0)']",0.163,1514,132.59,8.76,32,9,7,7,7,1.0,2017-07,2018-06,374,374.0,-41.92,-11.21,45.65,4,7,False
2018-01,2018-12,2014-01,2017-12,40,"['PS_CLOSE::league|odds_bucket=BRA|[1.8,2.2)', 'PS_CLOSE::league|odds_bucket=AUT|[4.0,5.0)', 'PS_CLOSE::league|market_prob_bucket=RUS|[0.34,0.42)']",0.1941,1020,116.52,11.42,32,12,6,6,6,1.0,2018-01,2018-12,253,253.0,31.28,12.36,15.71,10,1,True
2018-07,2019-06,2014-07,2018-06,28,"['PS_CLOSE::league|odds_bucket=AUT|[4.0,5.0)', 'PS_CLOSE::league|market_prob_bucket=RUS|[0.34,0.42)', 'PS_CLOSE::league|odds_bucket=CHN|[2.8,3.5)']",0.1573,1129,105.94,9.38,30,13,6,6,6,1.0,2018-07,2019-06,289,289.0,-27.01,-9.35,35.14,4,7,False
2019-01,2019-12,2015-01,2018-12,32,"['PS_CLOSE::league|outcome=AUT|home', 'PS_CLOSE::league|market_prob_bucket=RUS|[0.34,0.42)', 'PS_CLOSE::league|market_prob_bucket=SWE|[0.55,1.00]']",0.1171,1448,100.69,6.95,28,15,6,6,6,1.0,2019-01,2019-12,396,396.0,-41.91,-10.58,47.56,3,8,False
2019-07,2020-06,2015-07,2019-06,27,"['PS_CLOSE::league|market_prob_bucket=USA|[0.42,0.55)', 'PS_CLOSE::league|odds_bucket=JPN|[4.0,5.0)', 'PS_CLOSE::league|odds_bucket=SWZ|[2.8,3.5)']",0.174,1440,148.7,10.33,30,14,7,7,7,1.0,2019-07,2020-06,225,225.0,-5.65,-2.51,23.53,5,5,False
2020-01,2020-12,2016-01,2019-12,19,"['PS_CLOSE::league|market_prob_bucket=SWE|[0.55,1.00]', 'PS_CLOSE::league|outcome=IRL|home', 'PS_CLOSE::league|market_prob_bucket=ARG|[0.42,0.55)']",0.0945,1791,113.42,6.33,34,12,6,6,6,1.0,2020-01,2020-12,244,244.0,-21.18,-8.68,26.31,3,7,False
2020-07,2021-06,2016-07,2020-06,25,"['PS_CLOSE::league|odds_bucket=USA|[1.8,2.2)', 'PS_CLOSE::league|outcome=IRL|home', 'PS_CLOSE::league|market_prob_bucket=ARG|[0.42,0.55)']",0.2218,1710,88.35,5.17,31,13,6,6,6,1.0,2020-07,2021-06,455,455.0,-42.21,-9.28,50.52,5,7,False
2021-01,2021-12,2017-01,2020-12,19,"['PS_CLOSE::league|odds_bucket=RUS|[5.0,7.0)', 'PS_CLOSE::league|market_prob_bucket=JPN|[0.34,0.42)', 'AVG_CLOSE::league|odds_bucket=ARG|[1.8,2.2)']",0.3136,1255,127.95,10.2,32,12,6,6,6,1.0,2021-01,2021-12,401,401.0,-2.69,-0.67,54.43,7,5,False
2021-07,2022-06,2017-07,2021-06,9,"['PS_CLOSE::league|odds_bucket=AUT|[2.2,2.8)', 'PS_CLOSE::league|market_prob_bucket=ROU|[0.42,0.55)', 'PS_CLOSE::league|market_prob_bucket=DNK|[0.42,0.55)']",0.2436,1061,28.73,2.71,25,18,6,6,5,0.8333,2021-07,2022-06,252,252.0,-16.85,-6.69,33.39,4,7,False
