rule_lookback_settlements,min_rule_settlements,cooldown_days,bets,profit,roi_pct,max_drawdown,drawdown_to_profit,positive_months,negative_months,skipped_by_rule_cooldown,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
10,8,14,114,176.0,15.44,66.8,0.3795,15,7,103,25,5,12,5,0.4167
10,4,14,111,132.4,11.93,66.8,0.5045,14,8,106,25,3,12,3,0.25
20,8,14,132,241.9,18.33,102.2,0.4225,12,10,85,25,2,12,2,0.1667
20,12,14,132,241.9,18.33,102.2,0.4225,12,10,85,25,2,12,2,0.1667
30,8,60,103,153.6,14.91,105.4,0.6862,12,7,114,25,2,12,2,0.1667
30,12,60,103,153.6,14.91,105.4,0.6862,12,7,114,25,2,12,2,0.1667
30,8,14,126,167.6,13.3,85.4,0.5095,12,10,91,25,2,12,2,0.1667
30,12,14,126,167.6,13.3,85.4,0.5095,12,10,91,25,2,12,2,0.1667
20,8,30,92,118.1,12.84,112.3,0.9509,13,9,125,25,2,12,2,0.1667
20,12,30,92,118.1,12.84,112.3,0.9509,13,9,125,25,2,12,2,0.1667
20,8,60,72,70.3,9.76,101.2,1.4395,10,8,145,25,2,12,2,0.1667
20,12,60,72,70.3,9.76,101.2,1.4395,10,8,145,25,2,12,2,0.1667
10,8,60,60,102.8,17.13,100.0,0.9728,11,7,157,25,1,12,1,0.0833
20,4,14,129,198.3,15.37,102.2,0.5154,12,10,88,25,1,12,1,0.0833
30,4,60,98,108.0,11.02,105.4,0.9759,10,8,119,25,1,12,1,0.0833
30,8,30,124,128.1,10.33,95.3,0.744,12,10,93,25,1,12,1,0.0833
30,12,30,124,128.1,10.33,95.3,0.744,12,10,93,25,1,12,1,0.0833
30,4,14,123,124.0,10.08,85.4,0.6887,12,10,94,25,1,12,1,0.0833
20,4,30,87,72.5,8.33,112.3,1.549,11,10,130,25,1,12,1,0.0833
10,8,30,84,47.3,5.63,119.9,2.5349,11,11,133,25,1,12,1,0.0833
20,4,60,67,24.7,3.69,101.2,4.0972,8,9,150,25,1,12,1,0.0833
10,4,60,55,57.2,10.4,100.0,1.7483,9,8,162,25,0,12,0,0.0
30,4,30,119,82.5,6.93,107.4,1.3018,10,11,98,25,0,12,0,0.0
10,4,30,79,1.7,0.22,132.0,77.6471,9,12,138,25,0,12,0,0.0
