month,bets,staked,profit,roi_pct
2023-05,28,280.0,70.6,25.21
2023-08,22,220.0,-61.6,-28.0
2023-09,37,370.0,100.4,27.14
2023-10,30,300.0,-9.3,-3.1
2023-11,25,250.0,38.4,15.36
2023-12,42,420.0,-33.4,-7.95
2024-01,26,260.0,-108.3,-41.65
2024-02,41,410.0,65.2,15.9
2024-03,26,260.0,-80.1,-30.81
2024-09,33,330.0,23.5,7.12
2024-10,34,340.0,261.0,76.76
2024-11,29,290.0,185.7,64.03
2024-12,43,430.0,-45.5,-10.58
2025-01,27,270.0,109.0,40.37
2025-02,34,340.0,57.6,16.94
2025-03,32,320.0,15.4,4.81
2025-04,24,240.0,13.1,5.46
2025-05,34,340.0,-61.8,-18.18
2025-08,17,170.0,111.6,65.65
2025-09,33,330.0,104.0,31.52
2025-10,39,390.0,77.8,19.95
2025-11,36,360.0,-44.6,-12.39
2025-12,33,330.0,14.2,4.3
2026-01,30,300.0,-11.8,-3.93
2026-02,38,380.0,-18.1,-4.76
2026-03,40,400.0,47.9,11.97
2026-04,30,300.0,53.6,17.87
2026-05,8,80.0,-46.9,-58.62
