month,bets,staked,profit,roi_pct
2022-08,6,60.0,-28.3,-47.17
2022-09,4,40.0,-40.0,-100.0
2022-10,7,70.0,-5.3,-7.57
2022-11,4,40.0,21.5,53.75
2022-12,8,80.0,-16.2,-20.25
2023-01,6,60.0,5.7,9.5
2023-02,9,90.0,68.1,75.67
2023-03,8,80.0,13.7,17.12
2023-04,7,70.0,-8.2,-11.71
2023-05,5,50.0,16.9,33.8
2023-08,5,50.0,-19.3,-38.6
2023-09,8,80.0,16.5,20.62
2023-10,11,110.0,54.2,49.27
2023-11,10,100.0,28.7,28.7
2023-12,8,80.0,-14.1,-17.62
2024-01,6,60.0,-31.3,-52.17
2024-02,10,100.0,56.6,56.6
2024-03,5,50.0,-20.6,-41.2
2024-04,8,80.0,15.3,19.12
2024-05,3,30.0,1.3,4.33
2024-08,6,60.0,-26.9,-44.83
2024-09,9,90.0,37.3,41.44
2024-10,9,90.0,72.5,80.56
2024-11,9,90.0,103.3,114.78
2024-12,9,90.0,9.2,10.22
2025-01,9,90.0,6.3,7.0
2025-02,11,110.0,79.5,72.27
2025-03,10,100.0,-6.6,-6.6
2025-04,8,80.0,47.9,59.88
2025-05,4,40.0,-7.0,-17.5
2025-08,3,30.0,2.5,8.33
2025-09,9,90.0,33.5,37.22
2025-10,8,80.0,16.4,20.5
2025-11,10,100.0,30.0,30.0
2025-12,9,90.0,-27.5,-30.56
2026-01,9,90.0,103.8,115.33
2026-02,10,100.0,-41.4,-41.4
2026-03,11,110.0,55.5,50.45
2026-04,10,100.0,60.6,60.6
2026-05,2,20.0,-20.0,-100.0
