month,bets,staked,profit,roi_pct
2022-10,7,70.0,-6.9,-9.86
2022-11,2,20.0,-6.0,-30.0
2023-01,4,40.0,-26.7,-66.75
2023-02,5,50.0,27.1,54.2
2023-03,4,40.0,-9.8,-24.5
2023-04,8,80.0,14.7,18.38
2023-05,6,60.0,-0.5,-0.83
2023-06,1,10.0,6.0,60.0
2023-08,2,20.0,9.3,46.5
2023-09,7,70.0,16.3,23.29
2023-10,6,60.0,-0.7,-1.17
2023-11,6,60.0,29.9,49.83
2023-12,9,90.0,-11.8,-13.11
2024-01,7,70.0,5.5,7.86
2024-02,9,90.0,-3.4,-3.78
2024-03,4,40.0,19.4,48.5
2024-04,5,50.0,-2.9,-5.8
2024-05,11,110.0,25.3,23.0
2024-08,5,50.0,26.5,53.0
2024-09,7,70.0,20.6,29.43
2024-10,4,40.0,-12.0,-30.0
2024-11,4,40.0,23.8,59.5
2024-12,3,30.0,16.5,55.0
2025-01,3,30.0,0.3,1.0
2025-02,7,70.0,22.9,32.71
2025-03,5,50.0,-7.9,-15.8
2025-04,7,70.0,-6.8,-9.71
2025-05,6,60.0,15.6,26.0
2025-08,2,20.0,-8.3,-41.5
2025-09,1,10.0,-10.0,-100.0
2025-10,2,20.0,-6.7,-33.5
2025-11,5,50.0,13.9,27.8
2025-12,2,20.0,8.7,43.5
2026-01,3,30.0,8.8,29.33
2026-02,8,80.0,43.7,54.62
2026-03,6,60.0,12.3,20.5
2026-04,5,50.0,3.1,6.2
2026-05,6,60.0,30.2,50.33
