date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,strength_gap,goal_env,league_draw_rate_bucket,draw_market_prob_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-03-02,E2,Fleetwood Town,Wigan,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.312,-0.017522,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-03,SP2,Andorra,Valladolid,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.327117,-0.019084,3.1,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-08,SP2,Huesca,Andorra,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.373377,0.015518,2.8,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-09,SP2,Mirandes,Eldense,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.379104,0.061026,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-10,SP2,Santander,Tenerife,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.386335,0.089363,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-15,F1,Toulouse,Lyon,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.319015,-0.018027,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-24,SP2,Huesca,Burgos,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.374784,0.048584,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-30,SP2,Albacete,Huesca,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.378327,0.058789,2.88,1.0,True,1.88,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-31,SP2,Ferrol,Elche,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.37896,0.067977,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-03-31,SP1,Alaves,Sociedad,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.37231,0.045572,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|fav_relation=market_non_favorite",2024-03
2024-11-02,E1,Oxford,Swansea,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.322606,-0.000955,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-02,I1,Udinese,Juventus,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,mid_draw_prob,0.319327,-0.017667,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-03,T1,Bodrumspor,Alanyaspor,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.380682,0.029702,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-04,SP1,Celta,Getafe,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.323547,-0.003753,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-08,F2,Ajaccio,Clermont,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.389277,0.085193,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-17,SP2,Cartagena,Huesca,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.379634,0.06135,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
