test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability_x,closing_fair_odds_x,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability_y,closing_fair_odds_y,won,profit
2024-11,data\historical_csv\football-data\2425\SP2.csv:142,data\historical_csv\football-data\2425\SP2.csv,142,2024-11-09,SP2,Mirandes,Cadiz,draw,0.3618432943310394,0.3458700687056695,2.96,3.0,2.377540336878181,0.0139732256253699,6,0.0,WH,2.0-3.0,sportsbook,8.829228535909586,6.718824239093571,0.34,0.3605365683753161,True,0.3493856261994927,2.8621669725732177,existing_one_tenth_kelly,draw,3.4181453550498286,True,0.3493856261994927,2.8621669725732177,True,0.67
2024-11,data\historical_csv\football-data\2425\SP2.csv:144,data\historical_csv\football-data\2425\SP2.csv,144,2024-11-09,SP2,Huesca,Zaragoza,draw,0.3495823578452776,0.3393754583371273,2.96,3.0,0.4551356677896745,0.0082068995081503,6,0.0,WH,2.0-3.0,sportsbook,5.874602620603615,3.7641983237876007,0.19,0.35055472406685,True,0.3641425639264352,2.74617718186337,existing_one_tenth_kelly,draw,7.78619892222483,True,0.3641425639264352,2.74617718186337,True,0.37
2025-01,data\historical_csv\football-data\2425\E0.csv:196,data\historical_csv\football-data\2425\E0.csv,196,2025-01-04,E0,Southampton,Brentford,home,0.346951425215404,0.3367144426061885,2.96,3.0,-0.3325249885681947,0.0082369826092154,6,0.0,B365,2.0-3.0,sportsbook,2.3517925639796653,2.3517925639796653,0.12,0.3457830829864178,True,0.2880070791520744,3.472136875746643,existing_one_tenth_kelly,away,-14.749904570985962,False,0.2880070791520744,3.472136875746643,False,-0.12
2025-01,data\historical_csv\football-data\2425\F1.csv:143,data\historical_csv\football-data\2425\F1.csv,143,2025-01-05,F1,Lens,Toulouse,draw,0.2776607207221662,0.2707672017869565,3.6754,3.73,-0.4822226552219866,0.0048935189352096,6,0.0,1XB,3.0-4.0,sportsbook,2.6691423591768557,2.6691423591768557,0.1,0.2793414114359712,True,0.2749016392243673,3.637664740092099,existing_one_tenth_kelly,away,1.0373484805239477,True,0.2749016392243673,3.637664740092099,False,-0.1
2025-01,data\historical_csv\football-data\2425\I2.csv:205,data\historical_csv\football-data\2425\I2.csv,205,2025-01-12,I2,Palermo,Modena,away,0.2436929239104459,0.2295626603585276,4.43,4.5,1.696258538827733,0.0121302635519183,6,0.0,B365,4.0-5.0,sportsbook,5.390020184230135,5.390020184230135,0.16,0.2379007227634992,True,0.258024407860914,3.875602344329541,existing_one_tenth_kelly,home,14.304812682384904,True,0.258024407860914,3.875602344329541,False,-0.16
2025-01,data\historical_csv\football-data\2425\I1.csv:197,data\historical_csv\football-data\2425\I1.csv,197,2025-01-14,I1,Como,Milan,draw,0.2712682705929208,0.2675395415987964,3.7734,3.83,0.953370626889849,0.0017287289941243,6,0.0,1XB,3.0-4.0,sportsbook,3.088853114430578,3.088853114430578,0.11,0.2731988474967683,True,0.2688192289376924,3.719971982479655,existing_one_tenth_kelly,away,1.4362478473488594,True,0.2688192289376924,3.719971982479655,False,-0.11
2025-01,data\historical_csv\football-data\2425\F1.csv:156,data\historical_csv\football-data\2425\F1.csv,156,2025-01-17,F1,Lille,Nice,draw,0.2796527214330315,0.2759070361967595,3.6754,3.73,1.4068720837570048,0.001745685236272,6,0.0,1XB,3.0-4.0,sportsbook,3.4838226898061047,3.4838226898061047,0.13,0.2815579874022041,True,0.2804354943235666,3.565882423022385,existing_one_tenth_kelly,home,3.071261583683671,True,0.2804354943235666,3.565882423022385,False,-0.13
2025-01,data\historical_csv\football-data\2425\T1.csv:175,data\historical_csv\football-data\2425\T1.csv,175,2025-01-18,T1,Gaziantep,Bodrumspor,draw,0.2872519986814653,0.2787524712021582,3.6558,3.71,1.90632842208498,0.0064995274793071,6,0.0,1XB,3.0-4.0,sportsbook,5.395289018391294,5.395289018391294,0.2,0.2882961021346663,True,0.2935409389693976,3.4066798434008296,existing_one_tenth_kelly,draw,7.312696468432378,True,0.2935409389693976,3.4066798434008296,True,0.53
2025-01,data\historical_csv\football-data\2425\F1.csv:157,data\historical_csv\football-data\2425\F1.csv,157,2025-01-18,F1,Lens,Paris SG,draw,0.2363409161776228,0.2275842852825149,4.381,4.45,-0.2953246177301971,0.0067566308951078,6,0.0,1XB,4.0-5.0,sportsbook,3.86494708318102,3.86494708318102,0.11,0.2370804544240607,True,0.2492333202947077,4.012304610063947,existing_one_tenth_kelly,away,9.189117621111452,True,0.2492333202947077,4.012304610063947,False,-0.11
2025-01,data\historical_csv\football-data\2425\SP1.csv:199,data\historical_csv\football-data\2425\SP1.csv,199,2025-01-19,SP1,Osasuna,Vallecano,draw,0.3122669990438055,0.3029881556349855,3.2932,3.34,-0.2199405862865711,0.00727884340882,6,0.0,1XB,3.0-4.0,sportsbook,3.482649784398471,3.482649784398471,0.15,0.3142312941345757,True,0.3106766210306046,3.21878098417161,existing_one_tenth_kelly,draw,2.3120248377987096,True,0.3106766210306046,3.21878098417161,True,0.34
